energy,prior,fidelity,mass,psnr,ssim_indices
26469.1141016749,26469.1141016749,0.0,0.0,16.473036256913684,0.29413430731484574
26174.413718854375,26174.294172605805,0.11954624857022661,-0.20481385535094887,16.54318028479586,0.2958629563250789
25881.854815242288,25881.378413297283,0.476401945004368,-0.4144975699746283,16.613425105673862,0.29759935345025057
25591.45527956073,25590.38755323655,1.067726324182424,-0.6292140079312958,16.683762273782946,0.299343422965522
25303.247239311542,25301.35648749138,1.8907518201614881,-0.8502130262932042,16.75418851315994,0.301095961662363
25017.277586885317,25014.335026038676,2.9425608466419066,-1.0698411728080828,16.824695926906447,0.30285561462485067
24733.583729124104,24729.363695447733,4.220033676369512,-1.2959362547117053,16.895283243427727,0.30462245144046407
24452.175087167998,24446.454924907233,5.720162260765721,-1.531451750677661,16.965943403236537,0.30639589543219353
24173.082848300433,24165.64320603662,7.439642263814663,-1.7771634371747496,17.036673460461977,0.3081773656930156
23896.3187445489,23886.943329940357,9.375414608542238,-2.0253375448228326,17.10746642639617,0.30996448156614254
23621.90862245067,23610.384787798972,11.523834651697802,-2.2741519496339606,17.17832241373624,0.3117590227079298
23349.859555202056,23335.97788666498,13.881668537075349,-2.520844865954132,17.249229876148437,0.31355948639946946
23080.17076861785,23063.724899312445,16.445869305404603,-2.767361193240504,17.32018646028846,0.31536646631143217
22812.865728097117,22793.65297563185,19.21275246526606,-3.0144073325791396,17.391176869652682,0.31717890861176756
22547.964521729376,22525.785772079053,22.178749650325088,-3.2677451533672865,17.462199959574207,0.31899757271615764
22285.47270803002,22260.13256339183,25.34014463818916,-3.5171485837490764,17.533245912737673,0.32082258074106956
22025.422627125932,21996.729508618817,28.69311850711592,-3.7625601294566877,17.604317375981168,0.3226542448806937
21767.812990849052,21735.578849126632,32.234141722419814,-4.003440536704147,17.675405807671837,0.3244928685015353
21512.624388483553,21476.664723577043,35.959664906508785,-4.24507567693945,17.746510627703486,0.32633867624659757
21259.88958723841,21220.023597405765,39.86598983264424,-4.4858663459308445,17.81762242764391,0.3281903680948958
21009.60575524212,20965.656327997065,43.94942724505255,-4.729531169243273,17.888739710461437,0.3300481682475648
20761.76314975967,20713.556827048884,48.20632271078828,-4.983111621244461,17.959853127536572,0.3319110860806831
20516.36032554711,20463.727517012245,52.632808534866136,-5.256071289622923,18.030949998522527,0.33377944670544646
20273.391400207154,20216.166238715112,57.22516149204248,-5.544098364014644,18.102032095133097,0.3356543054427204
20032.869575184282,19970.88958157436,61.97999360992178,-5.837453013606137,18.173092044188977,0.3375358463178159
19794.80178039975,19727.908773563235,66.89300683651469,-6.12258077772276,18.244124355366182,0.33942290703276057
19559.212160790365,19487.251984430783,71.96017635958249,-6.402228733815718,18.315126482057394,0.34131721617432786
19326.074060990322,19248.896860816018,77.17720017430564,-6.700409751472762,18.38608647996326,0.3432169168550671
19095.416988467226,19012.87623757087,82.54075089635754,-7.008444065606454,18.456990173530833,0.34512274002497373
18867.22123791333,18779.174447795267,88.04679011806545,-7.326457586605102,18.527827350742463,0.3470325317154306
18641.515981975004,18547.82630669692,93.68967527808327,-7.652947114576818,18.598596560782006,0.34894786440389414
18418.243113196626,18318.77584022502,99.46727297160754,-7.999752676056232,18.669288949760134,0.35086816556941414
18197.407531995876,18092.032247329757,105.3752846661202,-8.352890114401816,18.73990653863125,0.35279360500863294
