width,height,noise_1,noise_1_coef,noise_2,noise_2_coef,noise_3,noise_3_coef
64.0,64.0,0.05,0.6463255978296427,0.1,0.514318412368916,0.15,0.6281198529916815
64.0,128.0,0.05,0.5216310942308623,0.1,0.5651059157506095,0.15,0.6170289824827259
64.0,192.0,0.05,0.4797346846781146,0.1,0.6026468487362764,0.15,0.6270280509523504
64.0,256.0,0.05,0.45570270378173927,0.1,0.5899052708478466,0.15,0.619851592118421
64.0,320.0,0.05,0.4456515861092791,0.1,0.5833015096215963,0.15,0.6175627387535604
128.0,64.0,0.05,0.5184993456818621,0.1,0.5775821185643478,0.15,0.5819477274647241
64.0,384.0,0.05,0.4342427040900116,0.1,0.6153256986473455,0.15,0.6229557679925453
64.0,448.0,0.05,0.4324862567357721,0.1,0.6123854066642626,0.15,0.6251693520141759
128.0,128.0,0.05,0.4027148220597527,0.1,0.5603720847143214,0.15,0.5959813251919408
64.0,512.0,0.05,0.4305417762025608,0.1,0.6104872477731856,0.15,0.6199112318018546
128.0,192.0,0.05,0.5444595482923344,0.1,0.5991388486317247,0.15,0.5957431525381222
64.0,576.0,0.05,0.4278166771179032,0.1,0.6063985592890826,0.15,0.6230281415210699
64.0,640.0,0.05,0.4238830642459985,0.1,0.6044082611017012,0.15,0.6224939506481981
128.0,256.0,0.05,0.5133453762299373,0.1,0.6118406426935837,0.15,0.5855768989287533
192.0,64.0,0.05,0.4846242470125107,0.1,0.5546207296369692,0.15,0.6011151240324265
192.0,128.0,0.05,0.5668194830197026,0.1,0.5926375713879454,0.15,0.5928467380600115
128.0,320.0,0.05,0.6001383280779783,0.1,0.6093502469142601,0.15,0.5818309707733043
192.0,192.0,0.05,0.5183008233820278,0.1,0.5850349840953236,0.15,0.5871723818310167
128.0,384.0,0.05,0.5849844442270643,0.1,0.6092852709986265,0.15,0.5798922296583715
128.0,448.0,0.05,0.5691487924835896,0.1,0.6049825900470029,0.15,0.575172325734204
128.0,512.0,0.05,0.5682149449810274,0.1,0.606410779397426,0.15,0.5774445834753947
192.0,256.0,0.05,0.5894118082385058,0.1,0.5951674785093043,0.15,0.5828502205058829
128.0,576.0,0.05,0.625047834815306,0.1,0.6017523821410059,0.15,0.5735442977236065
192.0,320.0,0.05,0.5657495440761094,0.1,0.6000226890434541,0.15,0.5770507585050557
256.0,64.0,0.05,0.48801977265213037,0.1,0.5587083871549685,0.15,0.5717277589431878
128.0,640.0,0.05,0.6176303408064788,0.1,0.6035061133218401,0.15,0.5734158654181547
256.0,128.0,0.05,0.5531041124222261,0.1,0.5853620545014698,0.15,0.589348311057221
256.0,192.0,0.05,0.5054111746694933,0.1,0.5826639150590933,0.15,0.58711527399324
192.0,384.0,0.05,0.6161677573380746,0.1,0.6017977424884562,0.15,0.5714184428291547
192.0,448.0,0.05,0.600373503226531,0.1,0.59796796740635,0.15,0.5695033904122041
256.0,256.0,0.05,0.6002172836672581,0.1,0.5958169220535453,0.15,0.5857072092444767
192.0,512.0,0.05,0.59439282702001,0.1,0.5971569804563316,0.15,0.5669645682104126
256.0,320.0,0.05,0.5574576507945963,0.1,0.5984452226081962,0.15,0.5764353497572655
320.0,64.0,0.05,0.47221482245608704,0.1,0.5490032582802248,0.15,0.5965135366426272
192.0,576.0,0.05,0.6308271477317224,0.1,0.5943956308157893,0.15,0.563614615631947
320.0,128.0,0.05,0.5523024667657283,0.1,0.5866851031320228,0.15,0.5900241395572795
256.0,384.0,0.05,0.6021244463804676,0.1,0.5971234984964497,0.15,0.5710590641219677
192.0,640.0,0.05,0.6199680154535324,0.1,0.592316096170009,0.15,0.5611207138667696
320.0,192.0,0.05,0.5004229116783017,0.1,0.5986082626152246,0.15,0.5864622065116624
256.0,448.0,0.05,0.5900403144169202,0.1,0.5943506370044719,0.15,0.5656510821453168
320.0,256.0,0.05,0.5749783532043323,0.1,0.6028547951695787,0.15,0.5822955701501642
256.0,512.0,0.05,0.6272397699364899,0.1,0.5933544882283003,0.15,0.5626612915273005
320.0,320.0,0.05,0.6156147673993415,0.1,0.5954205273140963,0.15,0.5739208769856053
256.0,576.0,0.05,0.6152870363832887,0.1,0.5899915502643963,0.15,0.5594762134777286
320.0,384.0,0.05,0.5911925820827929,0.1,0.5947625945388565,0.15,0.5679056816230903
256.0,640.0,0.05,0.6368493543712993,0.1,0.5868668439008038,0.15,0.5583896718186808
320.0,448.0,0.05,0.6249450836981918,0.1,0.5949397301810293,0.15,0.564731081901596
320.0,512.0,0.05,0.6139607167636116,0.1,0.5897164528822039,0.15,0.5609761656710327
320.0,576.0,0.05,0.634538440929667,0.1,0.5868403443873319,0.15,0.5598256835206018
320.0,640.0,0.05,0.6270304028047298,0.1,0.5839817578146193,0.15,0.5586738523620604
