img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
37,275,183,0.05,0.052758297877443815,2.5873488988243087e-08,0.067,0.25663766,0.20860751,0.03822117,0.21868101,0.03020493,0.19619408,0.04809946,0.20610659,0.04021133,0.19865032,0.04614485,0.19865032,0.04614485,0.19619408,0.04809946,0.19865032,0.04614485,0.19865032,0.04614485,0.20112155,0.0441783,0.19865032,0.04614485,0.19865032,0.04614485,0.25461856,0.00160677,0.25554186,0.00087202,0.20112155,0.0441783,0.21868101,0.03020493
37,275,183,0.1,0.10233011050902523,2.5873488988243087e-08,0.131,0.46271485,0.42851472,0.02338127,0.43922046,0.01606218,0.41613215,0.03184675,0.42851472,0.02338127,0.4188879,0.02996274,0.4202692,0.02901841,0.41751012,0.03090468,0.4188879,0.02996274,0.4188879,0.02996274,0.42302543,0.02713408,0.41751012,0.03090468,0.41751012,0.03090468,0.46271485,0.,0.46209407,0.00042442,0.4188879,0.02996274,0.43922046,0.01606218
37,275,183,0.15,0.15234065208320752,6.468372247060772e-08,0.20500000000000002,0.66820884,0.64065564,0.01651666,0.65026087,0.01075885,0.6268279,0.02480562,0.63884264,0.01760345,0.6296253,0.02312873,0.63148415,0.02201445,0.62869674,0.02368535,0.6296253,0.02312873,0.6305548,0.02257156,0.6333333,0.02090597,0.6277653,0.02424369,0.6258982,0.02536293,0.66649,0.00103036,0.66601443,0.00131545,0.6268279,0.02480562,0.6485706,0.01177206
