width,height,noise_1,noise_1_coef,noise_2,noise_2_coef,noise_3,noise_3_coef
64.0,64.0,0.05,0.8655230546046889,0.1,0.8600128361127736,0.15,0.8813747119189841
64.0,128.0,0.05,0.908218110917852,0.1,0.9184095277353822,0.15,0.887658539763385
64.0,192.0,0.05,0.9251749510359922,0.1,0.916944920451258,0.15,0.8927015959541522
128.0,64.0,0.05,0.8570695572899832,0.1,0.8948966345607346,0.15,0.8821797313572795
64.0,256.0,0.05,0.9358945799498768,0.1,0.9168033638789482,0.15,0.8817388548212095
64.0,320.0,0.05,0.9353320870040313,0.1,0.9178112666965615,0.15,0.8890132629938541
128.0,128.0,0.05,0.9193603216433526,0.1,0.9195867613569167,0.15,0.8893404022261384
64.0,384.0,0.05,0.9379334081399117,0.1,0.9114011125355587,0.15,0.8895663681168515
128.0,192.0,0.05,0.9360476642716794,0.1,0.91974778756793,0.15,0.8984292662139741
64.0,448.0,0.05,0.9385770052402024,0.1,0.9126367545296017,0.15,0.8864134935789449
128.0,256.0,0.05,0.9462666126839723,0.1,0.9226385987811022,0.15,0.8895628363262408
64.0,512.0,0.05,0.9409218607419645,0.1,0.9127818681024028,0.15,0.8821953482240746
64.0,576.0,0.05,0.9405679149786816,0.1,0.9123464570834592,0.15,0.8843719514520131
128.0,320.0,0.05,0.9478167927232164,0.1,0.9231720937647957,0.15,0.8899133003401827
192.0,64.0,0.05,0.8521642428777698,0.1,0.8921235670046281,0.15,0.8845384429082603
192.0,128.0,0.05,0.9199481135958623,0.1,0.9145376046329755,0.15,0.8992898925982705
64.0,640.0,0.05,0.9397693111798893,0.1,0.9130866153951677,0.15,0.8832783832320885
192.0,192.0,0.05,0.9384314427423744,0.1,0.9233069212045473,0.15,0.8942260979217054
128.0,384.0,0.05,0.946645758600778,0.1,0.9200999789497754,0.15,0.8938907944672556
128.0,448.0,0.05,0.9475589381208831,0.1,0.9199105155097085,0.15,0.8920553377242443
192.0,256.0,0.05,0.945556841469698,0.1,0.9232583798412424,0.15,0.8974792883165212
192.0,320.0,0.05,0.9511826587705744,0.1,0.9227464398552504,0.15,0.8961083063653711
128.0,512.0,0.05,0.9490226073314342,0.1,0.91879973587085,0.15,0.894984662453495
256.0,64.0,0.05,0.8570601879554606,0.1,0.8938270423281758,0.15,0.8749224543720494
256.0,128.0,0.05,0.9179904029872876,0.1,0.9175784450458753,0.15,0.8924988391116798
192.0,384.0,0.05,0.9514244373598628,0.1,0.9233973100074089,0.15,0.9003420111276089
128.0,576.0,0.05,0.9482198882368695,0.1,0.9186037559513535,0.15,0.89733536242867
192.0,448.0,0.05,0.9521046518407775,0.1,0.922885267904218,0.15,0.9020523418420623
128.0,640.0,0.05,0.9479415848762102,0.1,0.9175946603705086,0.15,0.8987294710880159
256.0,192.0,0.05,0.9355437523407963,0.1,0.9226992072505568,0.15,0.8999954374084139
256.0,256.0,0.05,0.94822456827604,0.1,0.9245631566831223,0.15,0.900025722283769
192.0,512.0,0.05,0.9508663411586812,0.1,0.9262523473893307,0.15,0.8979899082703166
256.0,320.0,0.05,0.9513096614197905,0.1,0.9249901106190397,0.15,0.9033647557149823
320.0,64.0,0.05,0.8551887566704665,0.1,0.8931393301268153,0.15,0.8849534074441242
192.0,576.0,0.05,0.9510629494512963,0.1,0.9270259063322708,0.15,0.8930217229128846
320.0,128.0,0.05,0.9192567325851402,0.1,0.9185837114236622,0.15,0.8937943335910769
256.0,384.0,0.05,0.95175071967041,0.1,0.9291464832388141,0.15,0.8995529541206294
320.0,192.0,0.05,0.9393811332299721,0.1,0.9220799161780656,0.15,0.8989725289724819
192.0,640.0,0.05,0.9510995814526778,0.1,0.9274255816417415,0.15,0.8890982901123077
256.0,448.0,0.05,0.9533250453060931,0.1,0.9292551731936827,0.15,0.8932085449322975
320.0,256.0,0.05,0.9482520445868586,0.1,0.9252248137257106,0.15,0.9043300482014042
256.0,512.0,0.05,0.9535912246709668,0.1,0.9299693517588379,0.15,0.8910264999440695
320.0,320.0,0.05,0.9502395357557338,0.1,0.93035882406078,0.15,0.8985934998225771
256.0,576.0,0.05,0.9541647170055355,0.1,0.928602218915329,0.15,0.8921946342490485
320.0,384.0,0.05,0.953526229740842,0.1,0.9317343316205744,0.15,0.8919243224208092
256.0,640.0,0.05,0.9540176921605567,0.1,0.9262998751184772,0.15,0.8938496071092541
320.0,448.0,0.05,0.9548246235581429,0.1,0.9300060912139697,0.15,0.8944334001850666
320.0,512.0,0.05,0.9553377860132188,0.1,0.928145202109761,0.15,0.8953455277455767
320.0,576.0,0.05,0.9559616675224031,0.1,0.9253534143771485,0.15,0.8977797196660484
320.0,640.0,0.05,0.9576786330271871,0.1,0.9246396750104561,0.15,0.8962878194031165
384.0,64.0,0.05,0.858525373729952,0.1,0.884838605135044,0.15,0.8884148982887751
384.0,128.0,0.05,0.9185941262303434,0.1,0.9165715973527193,0.15,0.8994689648061006
384.0,192.0,0.05,0.9400140465348629,0.1,0.9246594307712016,0.15,0.9039660845787528
448.0,64.0,0.05,0.85982615476601,0.1,0.8890996480400581,0.15,0.8842903121537947
384.0,256.0,0.05,0.9472764645668479,0.1,0.9301552073176697,0.15,0.9016215827307864
448.0,128.0,0.05,0.9193740314508998,0.1,0.916991584960148,0.15,0.8974891779583817
384.0,320.0,0.05,0.9515104370525546,0.1,0.9325978446840669,0.15,0.8922966149045544
448.0,192.0,0.05,0.9401061114305153,0.1,0.9243233295770543,0.15,0.9060117864949615
384.0,384.0,0.05,0.9537443234952104,0.1,0.9312520016971179,0.15,0.8940857748784917
448.0,256.0,0.05,0.945962928156371,0.1,0.9312628002253573,0.15,0.8956272661104262
384.0,448.0,0.05,0.955393199593708,0.1,0.9277135028108378,0.15,0.8982709635089817
448.0,320.0,0.05,0.9524254995780025,0.1,0.9310386906629081,0.15,0.8953880066160878
384.0,512.0,0.05,0.9573411678547704,0.1,0.9257632398302137,0.15,0.8973718135468634
512.0,64.0,0.05,0.8610555585260736,0.1,0.8865387773374135,0.15,0.8785402084610563
512.0,128.0,0.05,0.9212404627908127,0.1,0.9167107468862363,0.15,0.9010411747998521
384.0,576.0,0.05,0.9586968558939857,0.1,0.925010365859473,0.15,0.8974131937591936
448.0,384.0,0.05,0.9545228334588467,0.1,0.9283047967917447,0.15,0.8988298657422189
512.0,192.0,0.05,0.9362081455714552,0.1,0.9287327685852953,0.15,0.9024705813020679
384.0,640.0,0.05,0.9590317148692709,0.1,0.9243423212474102,0.15,0.8976146436462485
448.0,448.0,0.05,0.9572946900964566,0.1,0.9259623584230322,0.15,0.897381095089889
512.0,256.0,0.05,0.9470369102479714,0.1,0.9326968829739741,0.15,0.8939985949487073
448.0,512.0,0.05,0.9586498663022434,0.1,0.9260804078721717,0.15,0.8975594842914122
512.0,320.0,0.05,0.9529126210865115,0.1,0.9299719259215669,0.15,0.8967946706192725
576.0,64.0,0.05,0.8605386037207261,0.1,0.8910534557933125,0.15,0.8816544873100709
448.0,576.0,0.05,0.9599985067152185,0.1,0.9256414658464995,0.15,0.8963409469217368
576.0,128.0,0.05,0.9209000240738111,0.1,0.9174638983937958,0.15,0.904087973474194
512.0,384.0,0.05,0.9565417651346527,0.1,0.9270764764323911,0.15,0.8984743854934866
576.0,192.0,0.05,0.9367407860235146,0.1,0.929989592300094,0.15,0.8975305506373127
512.0,448.0,0.05,0.9580540590578083,0.1,0.9266808606737367,0.15,0.8983747658207138
448.0,640.0,0.05,0.9590389241918711,0.1,0.9253210630465453,0.15,0.8973972435599369
576.0,256.0,0.05,0.9471278894555041,0.1,0.931628756062719,0.15,0.8958447410311537
512.0,512.0,0.05,0.9599445819402677,0.1,0.9262727640897299,0.15,0.8977694410778008
576.0,320.0,0.05,0.9521547117045168,0.1,0.927768046789993,0.15,0.8999591692232886
640.0,64.0,0.05,0.8605091050696105,0.1,0.8913979306708651,0.15,0.8801974785104647
640.0,128.0,0.05,0.9216973621804416,0.1,0.9173945097886612,0.15,0.9044313630071078
512.0,576.0,0.05,0.9597531525867374,0.1,0.926025313961506,0.15,0.8975234038020221
576.0,384.0,0.05,0.9568265741124968,0.1,0.9268776359960532,0.15,0.898681636467828
640.0,192.0,0.05,0.9366848185878126,0.1,0.9302680079695401,0.15,0.8943217308922119
576.0,448.0,0.05,0.9595137020890698,0.1,0.9270364743944672,0.15,0.8973456654205483
512.0,640.0,0.05,0.9587442971886669,0.1,0.9269740540991336,0.15,0.8973941166876228
640.0,256.0,0.05,0.9471090242194863,0.1,0.9295431601468478,0.15,0.8982741442733978
640.0,320.0,0.05,0.9536031605009696,0.1,0.927543233334363,0.15,0.8990680829037145
576.0,512.0,0.05,0.9592648090764921,0.1,0.9265205908609359,0.15,0.8981118536949856
576.0,576.0,0.05,0.9584240098296319,0.1,0.9278124892598574,0.15,0.8981359631975623
640.0,384.0,0.05,0.9574898254077311,0.1,0.9270395916001561,0.15,0.8994767334839009
576.0,640.0,0.05,0.9581480295125061,0.1,0.9288123231704638,0.15,0.8985124846607474
640.0,448.0,0.05,0.95802581573502,0.1,0.9275538099468121,0.15,0.8987955976059354
640.0,512.0,0.05,0.9587587712212816,0.1,0.928455239456376,0.15,0.898093058895478
640.0,576.0,0.05,0.9580684725108037,0.1,0.9295769532547223,0.15,0.89879493602283
640.0,640.0,0.05,0.9588084385057063,0.1,0.9289414219245865,0.15,0.898663290171678
