img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
81,600,401,0.05,0.0524272424961005,8.658908284843447e-08,0.05,0.17448667,0.13025399,0.0376613,0.13328356,0.03508181,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.13025399,0.0376613,0.14819948,0.02238185,0.15659201,0.01523615,0.13025399,0.0376613,0.13328356,0.03508181
81,600,401,0.1,0.10187136399261335,4.3294541424217235e-08,0.10400000000000001,0.3553018,0.32855564,0.01973447,0.3298947,0.01874644,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32855564,0.01973447,0.32721153,0.0207262,0.34258208,0.00938514,0.3507017,0.00339414,0.32721153,0.0207262,0.3298947,0.01874644
81,600,401,0.15,0.15183655551700004,4.3294541424217235e-08,0.168,0.5444136,0.5253149,0.0123663,0.52691007,0.01133347,0.5261174,0.01184672,0.524511,0.01288685,0.5253149,0.0123663,0.5253149,0.0123663,0.52691007,0.01133347,0.5253149,0.0123663,0.5261174,0.01184672,0.524511,0.01288685,0.5253149,0.0123663,0.52288204,0.01394158,0.5382082,0.004018,0.54220307,0.00143134,0.52288204,0.01394158,0.5253149,0.0123663
