energy,prior,fidelity,mass,psnr,ssim_indices
33614.86677523942,33614.86677523942,0.0,0.0,26.026835939418568,0.6994354186743316
32774.22312248997,32773.870774662806,0.35234782716633173,-7.497735299708438,26.218596025867896,0.7065907302965351
31951.858841468027,31950.464436039983,1.3944054280430276,-15.268864127414417,26.410060885545334,0.7136985253689688
31148.44742692108,31145.34531179613,3.102115124951592,-23.319966374663636,26.600970831508786,0.7207510179135426
30364.590526637967,30359.140775881086,5.449750756880965,-31.667481415934162,26.791057953067657,0.7277379555494005
29600.576483371107,29592.167157839693,8.409325531414682,-40.32292221719399,26.980054859372252,0.7346439361044189
28856.676467943376,28844.72306546722,11.953402476155945,-49.328634779842105,27.1676563939157,0.7414598016857571
28133.19966092337,28117.14801814133,16.05164278203617,-58.64751601761964,27.353560655740278,0.7481719110294379
27430.23899320166,27409.564845164467,20.67414803719408,-68.27934147007181,27.53742133980157,0.7547704928194386
26747.934090123897,26722.14489954698,25.78919057691668,-78.22229797099135,27.718910089559255,0.7612444821922894
26086.61799171708,26055.252777797865,31.36521391921656,-88.47851586523757,27.897649928350162,0.7675837335837694
25446.123720350464,25408.7564215002,37.367298850265634,-99.05640728866274,28.073306597353596,0.7737830406344042
24826.49260979854,24782.727964174825,43.764645623716525,-109.99538403595216,28.245483564376215,0.7798300410798303
24227.701978989164,24177.17586695589,50.52611203327315,-121.30473651322245,28.413812576087718,0.7857144389210395
23649.573239372272,23591.95608218443,57.61715718783892,-132.95671305526048,28.57786611045252,0.7914252004133422
23091.843721532347,23026.835872245276,65.0078492870703,-144.91641078927205,28.737326832737665,0.7969575714389204
22554.051400725566,22481.382316550003,72.66908417556418,-157.20506325765746,28.89178725056545,0.8023011875607043
22035.849879165235,21955.275595199862,80.57428396537085,-169.86178872991877,29.040860091018978,0.8074514990927386
21536.948941996747,21448.257215667345,88.69172632940264,-182.88130204289337,29.184149359327378,0.812395947600906
21056.96082399048,20959.966215690194,96.99460830028815,-196.2876439649699,29.321294040394974,0.817130786752455
20595.439437401674,20489.97939146828,105.4600459333938,-210.1004147145868,29.451930457027878,0.8216484363072342
20151.8539561977,20037.791823334494,114.06213286320913,-224.30270636250498,29.575703526968105,0.8259442274533959
19725.75643348854,19602.977234674123,122.77919881441588,-238.90881179737335,29.692331526993968,0.8300144754816859
19316.56636235368,19184.975415843972,131.59094650970778,-253.95377127151005,29.80151970045764,0.8338582163533411
18923.90810640323,18783.430198445127,140.4779079581031,-269.4069934808358,29.903038472548836,0.8374739984669767
18547.306468125462,18397.886446775665,149.4200213497987,-285.33551064814674,29.99667158161815,0.8408561021334595
18186.153159498135,18027.749892518375,158.40326697976045,-301.71324599385844,30.08220178503781,0.8440024226006898
17839.99746076242,17672.588028149312,167.4094326131105,-318.51042609411525,30.15952920430154,0.8469117078165143
17508.398268606205,17331.969223926306,176.4290446798987,-335.699090794471,30.22854754140919,0.8495835938324697
17190.70999374269,17005.26705624017,185.44293750252265,-353.3625437308219,30.28924118501701,0.8520212468767562
16886.420126107238,16691.973551512314,194.44657459492242,-371.4432918261009,30.341630620389772,0.8542258051075593
16595.010145447657,16391.583474293933,203.426671153724,-389.92524401357514,30.385686005654616,0.856193570010864
16315.889038548374,16103.513053457467,212.3759850909062,-408.79276069607295,30.421540996779044,0.8579342536147195
16048.644380564425,15827.361664920803,221.28271564362237,-428.0247070974292,30.44925405392668,0.8594404382151007
15792.946896652737,15562.80154631353,230.14535033920538,-447.69864355266327,30.46903950870368,0.860719227549909
15548.224620630885,15309.275684244754,238.94893638613,-467.67795447126264,30.481058731975313,0.8617731386100095
15314.03141213134,15066.334156933055,247.6972551982855,-488.042662365202,30.48556881299958,0.862613741178261
15090.16200165833,14833.78951283852,256.37248881980764,-508.69029910469544,30.482714952460462,0.8632351732875233
14876.178074771533,14611.196870353211,264.98120441832236,-529.690989610157,30.472848454861435,0.8636509240372087
14671.926879550081,14398.422289500657,273.50459004942354,-550.9481377870688,30.456277307357812,0.8638616866959546
14476.652231347196,14194.701174916585,281.95105643061066,-572.5025564631796,30.433276094492907,0.8638771507192669
14290.055703892116,13999.73955493128,290.31614896083505,-594.3220385143795,30.404171949506427,0.8636916495630901
