energy,prior,fidelity,mass,psnr,ssim_indices
84328.87146659652,84328.87146659652,0.0,0.0,16.479823178305132,0.33165798689109316
83379.55099395708,83379.16500991349,0.38598404359326954,-1.3962609574518865,16.551351108700914,0.33400523869351834
82437.3341880595,82435.7961679664,1.5380200930946524,-2.823372080179979,16.62301409889252,0.33636535467325324
81502.38410091435,81498.93709170113,3.447009213230556,-4.284783175957273,16.694809456665602,0.33873798088871965
80574.76880758526,80568.66524449075,6.103563094517986,-5.77121405726939,16.766731062252628,0.341122527195886
79654.66869565312,79645.17073930969,9.49795634343803,-7.279634889870067,16.838776962537676,0.34351948983088704
78742.14776830506,78728.5278711877,13.61989711736366,-8.825161163767916,16.9109396020948,0.3459287060842608
77837.27683847933,77818.8177220155,18.459116463819992,-10.400327759271022,16.98321546075708,0.34835002818010175
76940.12574957129,76916.1207861413,24.00496342998895,-12.010525903999223,17.05559818316711,0.3507836140611043
76050.75842064482,76020.51158216296,30.246838481869325,-13.654773170681437,17.12808527303637,0.3532292163343593
75169.27326263669,75132.09962068088,37.173641955812286,-15.352771515128552,17.200669535974747,0.3556880069509741
74295.76872950408,74250.99483600534,44.77389349874019,-17.086301797040505,17.27334788110494,0.35815875872058994
73430.1847496109,73377.14876941043,53.035980200467506,-18.8554365169839,17.346115327313115,0.36064053253666395
72572.54374140463,72510.59405966505,61.94968173958221,-20.65144521210459,17.418966117666358,0.363134118351297
71722.96695389693,71651.46410357433,71.50285032260324,-22.494341905781766,17.49189512953876,0.36563925767575056
70881.47959569229,70799.79588239195,81.68371330033595,-24.392866780384793,17.564897347597935,0.36815561148722575
70048.14864515763,69955.66872694768,92.47991820994817,-26.357929591074935,17.637966488275296,0.3706824848285764
69223.05363628294,69119.1749465687,103.87868971423987,-28.377294185687788,17.711096616946445,0.3732193965372228
68406.219098377,68290.35274201445,115.86635636254495,-30.462328593697748,17.784280260963552,0.37576621032610724
67597.59805589331,67469.16566627828,128.43238961502647,-32.59595538924623,17.85751640396743,0.37832228222202263
66797.20211566951,66655.63781219118,141.56430347832097,-34.80476492247544,17.930793880378314,0.38088819346993635
66005.12947107402,65849.8810808539,155.24839022011565,-37.08416270806629,18.00411043675579,0.3834632201614048
65221.48373058865,65052.01383806603,169.4698925226151,-39.42109241730941,18.077462210922295,0.3860475711012324
64446.061450056986,64261.844428698445,184.21702135854306,-41.79789382546733,18.15084502584036,0.38864115112039
63678.92968039119,63479.45057155828,199.4791088329149,-44.22678361507133,18.22424803248399,0.39124297231529964
62920.044739769495,62704.802204664746,215.24253510475089,-46.67890618783713,18.297667910241568,0.39385383606437546
62169.485197601716,61937.988958297625,231.49623930408944,-49.18574351305142,18.37109548334251,0.3964729480978741
61427.18644869915,61178.96085607324,248.22559262590607,-51.73691493230581,18.444526987891383,0.3991000340565262
60693.12133397887,60427.70334244712,265.41799153174236,-54.33589034619217,18.517958029411414,0.40173447259538325
59967.174497464126,59684.112664715656,283.0618327484674,-56.974210784668685,18.591383575544903,0.40437648068212767
59249.41146009561,58948.265503008726,301.1459570868846,-59.66261383265373,18.66479392711556,0.40702629365980725
58539.83238558114,58220.17728478319,319.65510079795183,-62.421506841434166,18.738183369275156,0.40968480566182763
57838.38645962103,57499.80961433256,338.5768452884714,-65.25290473969653,18.81154219059525,0.41235138878565764
57144.94593652316,56787.045645461185,357.90029106197795,-68.1612223637203,18.8848649063726,0.41502628607344455
56459.63695485793,56082.02326655949,377.6136882984462,-71.14743771923531,18.95814128062514,0.41770809621240496
55782.344586933155,55384.64081261211,397.7037743210457,-74.18997133971425,19.031366259645765,0.4203954503518505
55113.09574178636,54694.93820302814,418.1575387582229,-77.28619801919558,19.104526580600698,0.4230887252986459
54451.70822135322,54012.74632430608,438.96189704714425,-80.41244399538846,19.177619373330273,0.4257874650091791
53798.29695928154,53338.18998752783,460.1069717537082,-83.59343877415813,19.250631364412804,0.4284908110454139
53152.81402192822,52671.238885976076,481.57513595214743,-86.83039786059817,19.323560873963302,0.4311988111666462
52515.22409605319,52011.864219258816,503.35987679438006,-90.13414828771784,19.396394127529884,0.4339116469327025
51885.39698274062,51359.94957938084,525.4474033597812,-93.49959625347401,19.469121285161176,0.43662944986492663
51263.39966578618,50715.572419745586,547.8272460405925,-96.9261187017255,19.54173595003633,0.43935196559480216
50649.121365665065,50078.63574818192,570.4856174831452,-100.42006421665428,19.614232552269574,0.44207918463589085
50042.51873362006,49449.105334074484,593.4133995455775,-103.98216632810363,19.68659901722934,0.44481008792182425
49443.59751849158,48827.00237088614,616.5951476054372,-107.6222221898206,19.758830578753884,0.44754486311419434
48852.34070164183,48212.32213800277,640.0185636390632,-111.37274338435964,19.830914123350126,0.45028348329134454
48268.60794224568,47604.93208229292,663.6758599527619,-115.22452803424676,19.90284518132787,0.4530265254501182
47692.3463224388,47004.79089760443,687.5554248343769,-119.16791320653283,19.97460796855875,0.45577223930048943
47123.52416941214,46411.87780307807,711.6463663340764,-123.19427075274871,20.04619324561201,0.458521203026792
46562.04049266392,45826.099409991446,735.9410826724734,-127.30972236828529,20.117591482229123,0.4612716097419813
46007.81840703988,45247.39082121876,760.4275858211171,-131.50536015661783,20.188795038437966,0.4640238628836835
45460.9063052657,44675.81373916955,785.0925660961514,-135.78513952998037,20.25979119690238,0.4667767539608849
44921.174840938904,44111.247706757335,809.9271341815701,-140.13529646744428,20.330567937318524,0.4695287315319636
44388.68348598859,43553.76521164381,834.918274344782,-144.55600602389313,20.401106253954048,0.4722792037773806
