width,height,noise_1,noise_1_coef,noise_2,noise_2_coef,noise_3,noise_3_coef
64.0,64.0,0.05,0.9354959552486736,0.1,0.9524693091710407,0.15,0.9567209967860468
64.0,128.0,0.05,0.963709938029448,0.1,0.9666105732321737,0.15,0.9829855627483791
64.0,192.0,0.05,0.969219538900587,0.1,0.9804151124424402,0.15,0.977902059201841
64.0,256.0,0.05,0.9674393261472383,0.1,0.9857814759016035,0.15,0.9783195124732122
64.0,320.0,0.05,0.973232587178548,0.1,0.9844883282979328,0.15,0.9811215930514866
64.0,384.0,0.05,0.9718485176563261,0.1,0.9808782074186534,0.15,0.9795592154985593
64.0,512.0,0.05,0.9726837277412412,0.1,0.9835517654816308,0.15,0.9681986437903509
64.0,448.0,0.05,0.9732999971934725,0.1,0.9788728186062402,0.15,0.9765625
128.0,64.0,0.05,0.9366653859615324,0.1,0.9510212888320285,0.15,0.971878899468316
64.0,576.0,0.05,0.9728122640539096,0.1,0.9800114013530588,0.15,0.9698601907172812
128.0,128.0,0.05,0.9690588961044946,0.1,0.9856746842463809,0.15,0.978468965601038
64.0,640.0,0.05,0.975533624490102,0.1,0.9750762581825255,0.15,0.9694369633992515
128.0,192.0,0.05,0.9826620419820147,0.1,0.9861551225185392,0.15,0.9829195193302485
128.0,256.0,0.05,0.987865589559078,0.1,0.9920991336305934,0.15,0.9732116151739049
128.0,320.0,0.05,0.9911917646725971,0.1,0.9846207499504088,0.15,0.9745483928256565
192.0,64.0,0.05,0.9361654520034788,0.1,0.961182763179143,0.15,0.9618753268394942
128.0,384.0,0.05,0.9886231687333846,0.1,0.9841251704427928,0.15,0.9731850506346903
128.0,448.0,0.05,0.9888553903216405,0.1,0.9838522899718509,0.15,0.974200137708553
192.0,128.0,0.05,0.9731840756204391,0.1,0.9799059894349837,0.15,0.9790688385198146
128.0,512.0,0.05,0.9915199751655259,0.1,0.977578635017077,0.15,0.9785027415664107
128.0,576.0,0.05,0.9895762911549318,0.1,0.9777033770525895,0.15,0.9816468988426429
128.0,640.0,0.05,0.9878997008005777,0.1,0.9775545199712116,0.15,0.9823980154814544
192.0,192.0,0.05,0.9849037285204284,0.1,0.9877964302345555,0.15,0.973123974270291
192.0,256.0,0.05,0.9904276993539596,0.1,0.984518229961395,0.15,0.9718517462412517
192.0,320.0,0.05,0.9934613439771862,0.1,0.9798709551493325,0.15,0.9776382681764203
256.0,64.0,0.05,0.9322521587212879,0.1,0.9645229826370874,0.15,0.9618785646226671
192.0,384.0,0.05,0.9922817901328755,0.1,0.9788657780046813,0.15,0.9814230993451406
256.0,128.0,0.05,0.9749474003911016,0.1,0.9832808127005893,0.15,0.9675723535043221
192.0,448.0,0.05,0.9909665773785302,0.1,0.9805825021531845,0.15,0.9821886738772115
256.0,192.0,0.05,0.9859234094619749,0.1,0.9821345408757525,0.15,0.97123016545802
192.0,512.0,0.05,0.989817745155758,0.1,0.9817726082271997,0.15,0.981905946025142
192.0,576.0,0.05,0.9888717421778924,0.1,0.9838551650812595,0.15,0.9813678935067971
256.0,256.0,0.05,0.9926947454611459,0.1,0.9783570344249406,0.15,0.978022813796997
192.0,640.0,0.05,0.9879778491126165,0.1,0.9846172067854138,0.15,0.9821516201819903
320.0,64.0,0.05,0.9352701902389525,0.1,0.9608314434687295,0.15,0.9639177498994052
256.0,320.0,0.05,0.9917345643043517,0.1,0.9792075554529824,0.15,0.982160215024595
320.0,128.0,0.05,0.9753689169883727,0.1,0.9751699368158975,0.15,0.9678114785088434
256.0,384.0,0.05,0.9906495610872902,0.1,0.9822462995847063,0.15,0.9818676813149159
256.0,448.0,0.05,0.9908120547022136,0.1,0.9840577131225947,0.15,0.9804344681835679
320.0,192.0,0.05,0.9878930780622692,0.1,0.9766186608208549,0.15,0.9757864916766131
256.0,512.0,0.05,0.9888477002580959,0.1,0.986994554599126,0.15,0.9811710428308557
256.0,576.0,0.05,0.9882221619288124,0.1,0.9868348086321793,0.15,0.9828182895487719
320.0,256.0,0.05,0.9903487563133239,0.1,0.9779850641886392,0.15,0.9818089449847187
256.0,640.0,0.05,0.9874763091405231,0.1,0.9875052173932392,0.15,0.9822806605586301
320.0,320.0,0.05,0.9897469679514566,0.1,0.982001225153605,0.15,0.9805218731915509
320.0,384.0,0.05,0.9894800186157225,0.1,0.9849456946055093,0.15,0.9811769885781371
320.0,448.0,0.05,0.9883129029046919,0.1,0.987603323800223,0.15,0.9812097700815353
320.0,512.0,0.05,0.9877271453539529,0.1,0.9874130288759866,0.15,0.982571531225134
320.0,576.0,0.05,0.9890506002638073,0.1,0.9869434215404367,0.15,0.981235347166964
320.0,640.0,0.05,0.9883092244466144,0.1,0.9886571566263833,0.15,0.9792457863136574
384.0,64.0,0.05,0.9354905949698552,0.1,0.957797136571672,0.15,0.9620054268542632
384.0,128.0,0.05,0.9728688332769603,0.1,0.9746195541487798,0.15,0.9658919440375435
384.0,192.0,0.05,0.9856699793427076,0.1,0.9750978814231023,0.15,0.9791128919938956
384.0,256.0,0.05,0.9884204301569194,0.1,0.980616940392388,0.15,0.9808003166575492
448.0,64.0,0.05,0.9372874384834651,0.1,0.9568600427536735,0.15,0.9585871267571021
384.0,320.0,0.05,0.9882538186179266,0.1,0.9846111138661701,0.15,0.981267175556701
384.0,384.0,0.05,0.9879358388759469,0.1,0.986808207299974,0.15,0.9814056349389348
448.0,128.0,0.05,0.9738432509558539,0.1,0.9737618622325713,0.15,0.9668333820565037
384.0,448.0,0.05,0.9879472709837412,0.1,0.98711611732604,0.15,0.9822089415588917
384.0,512.0,0.05,0.9882292813724939,0.1,0.9878037704361807,0.15,0.9798831409878201
448.0,192.0,0.05,0.9840858361077686,0.1,0.9762763977050779,0.15,0.9794951746703456
448.0,256.0,0.05,0.9875136471930002,0.1,0.9823580582936603,0.15,0.97997749924029
384.0,576.0,0.05,0.9889075785507389,0.1,0.9876511715076586,0.15,0.9775153239895124
448.0,320.0,0.05,0.9873431069510321,0.1,0.9872923578534805,0.15,0.9812649721821781
512.0,64.0,0.05,0.9359760830799737,0.1,0.9606065228581426,0.15,0.9509241139447246
384.0,640.0,0.05,0.9886696603563095,0.1,0.987973478105333,0.15,0.9753198976869937
448.0,384.0,0.05,0.9881022430601573,0.1,0.987044780973404,0.15,0.9823708307175409
512.0,128.0,0.05,0.974346635242303,0.1,0.9673774242401121,0.15,0.9712492978131329
448.0,448.0,0.05,0.9884167690666353,0.1,0.9884287710903452,0.15,0.9791527745945384
512.0,192.0,0.05,0.9823236200544566,0.1,0.977827277448442,0.15,0.9793394877586836
512.0,256.0,0.05,0.9856652468442915,0.1,0.985394480327765,0.15,0.9807504989482738
448.0,512.0,0.05,0.9892554510207401,0.1,0.9877912345386685,0.15,0.9762336968114137
448.0,576.0,0.05,0.9888408045289376,0.1,0.987849538288419,0.15,0.9779473180843761
512.0,320.0,0.05,0.9862047433853148,0.1,0.9872646133104959,0.15,0.983087839903655
576.0,64.0,0.05,0.9351055931161949,0.1,0.9575819527661357,0.15,0.9517555864750114
448.0,640.0,0.05,0.9895434833708261,0.1,0.9862798736208959,0.15,0.9750311715262278
512.0,384.0,0.05,0.9878678454293143,0.1,0.9879041877057815,0.15,0.9806931018829347
576.0,128.0,0.05,0.9731532246978192,0.1,0.9673169365635622,0.15,0.974331176820606
512.0,448.0,0.05,0.9892260744458151,0.1,0.9881664599691117,0.15,0.9767563254744919
576.0,192.0,0.05,0.9816500139825136,0.1,0.9794726783846629,0.15,0.9784604296272184
512.0,512.0,0.05,0.9896667053302127,0.1,0.9875214348236718,0.15,0.9771716815453988
576.0,256.0,0.05,0.9840901251192443,0.1,0.9851451273317687,0.15,0.9823522450011455
576.0,320.0,0.05,0.987344317966037,0.1,0.9865865000972039,0.15,0.9828519624937708
512.0,576.0,0.05,0.9892698791291976,0.1,0.9874289786374125,0.15,0.9746800724861554
512.0,640.0,0.05,0.988379418849945,0.1,0.9871046741803485,0.15,0.9735289326420538
576.0,384.0,0.05,0.9886141912436778,0.1,0.9880307279987097,0.15,0.9792492059359662
640.0,64.0,0.05,0.9370630979537963,0.1,0.9523808956146239,0.15,0.951122177971734
640.0,128.0,0.05,0.9723710020383197,0.1,0.9670296311378478,0.15,0.9751068221198189
576.0,448.0,0.05,0.988871584493647,0.1,0.988282350005296,0.15,0.9778871037271849
640.0,192.0,0.05,0.9804532925287881,0.1,0.979992349942525,0.15,0.9798755174801674
640.0,256.0,0.05,0.9836663802464801,0.1,0.9858777125676471,0.15,0.9832519955105252
576.0,512.0,0.05,0.9891163419794151,0.1,0.9872704744338987,0.15,0.9755274886457028
640.0,320.0,0.05,0.9865690867106118,0.1,0.9885388215382892,0.15,0.9810654675519025
576.0,576.0,0.05,0.9892375380904583,0.1,0.9867110860691146,0.15,0.9721537076778265
640.0,384.0,0.05,0.9882634878158568,0.1,0.9888135062323675,0.15,0.97825703797517
576.0,640.0,0.05,0.9889487867002131,0.1,0.9856093371355973,0.15,0.9710862901475694
640.0,448.0,0.05,0.9894333566938125,0.1,0.9873158591134205,0.15,0.9759471025416461
640.0,512.0,0.05,0.9886635343233743,0.1,0.9876772761344909,0.15,0.9732679084495263
640.0,576.0,0.05,0.9890505119606299,0.1,0.9859641393025714,0.15,0.9722722999352977
640.0,640.0,0.05,0.9896628061930337,0.1,0.9845290184020995,0.15,0.972590411150897
