img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
67,350,232,0.05,0.054645207904719106,3.207101806239737e-08,0.054,0.13696547,0.08519907,0.04553031,0.09056359,0.04081204,0.08253639,0.04787223,0.08519907,0.04553031,0.08253639,0.04787223,0.08253639,0.04787223,0.08253639,0.04787223,0.08253639,0.04787223,0.08253639,0.04787223,0.08519907,0.04553031,0.08253639,0.04787223,0.08253639,0.04787223,0.11195897,0.02199407,0.11451201,0.01974858,0.08253639,0.04787223,0.09056359,0.04081204
67,350,232,0.1,0.1037075142398433,3.207101806239737e-08,0.11800000000000001,0.29621935,0.25725496,0.03006003,0.26231593,0.0261556,0.25219867,0.03396081,0.25598732,0.03103798,0.25345847,0.03298892,0.25472233,0.03201389,0.25345847,0.03298892,0.25345847,0.03298892,0.25345847,0.03298892,0.25472233,0.03201389,0.25345847,0.03298892,0.25345847,0.03298892,0.28156534,0.01130518,0.28474993,0.00884836,0.25219867,0.03396081,0.26105133,0.02713122
67,350,232,0.15,0.15385819848289148,6.414203612479474e-08,0.203,0.46134576,0.42344928,0.02593259,0.42971072,0.02164789,0.41639772,0.03075797,0.42267367,0.02646334,0.4171709,0.03022888,0.4187387,0.02915605,0.41639772,0.03075797,0.4187387,0.02915605,0.4171709,0.03022888,0.42030808,0.02808212,0.4171709,0.03022888,0.41639772,0.03075797,0.45199943,0.0063957,0.45077184,0.00723574,0.41639772,0.03075797,0.42737907,0.02324343
