img_index,width,height,noise_std,noise_std_est,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10
0,512,512,0.05,0.052883603989352,0.58,0.1935154600631276,0.1836461138746242,0.0082691397964643,0.189578199150857,0.0032988771775627,0.1902061823785031,0.0027727145523942,0.1889170113935594,0.0038528605815671,0.1836461138746242,0.0082691397964643,0.1836461138746242,0.0082691397964643,0.1852377487554882,0.0069355710794073,0.189578199150857,0.0032988771775627,0.1852377487554882,0.0069355710794073,0.182834017810318,0.0089495633782948
0,512,512,0.1,0.1015622202153304,1.07,0.4051209964783127,0.4045314033582786,0.0004196030957559,0.4047048890364971,0.0002961363774781,0.4049160154408289,0.0001458814137697,0.4046211774892485,0.0003557124192983,0.4045314033582786,0.0004196030957559,0.4046211774892485,0.0003557124192983,0.4043350005450756,0.0005593795375679,0.4047048890364971,0.0002961363774781,0.4044359039668551,0.0004875683397904,0.4047048890364971,0.0002961363774781
0,512,512,0.15,0.1521609007954884,2.02,0.60454243227869,0.6032502152459156,0.0008053492427365,0.6045400399625467,1.4909647106239311e-06,0.6045030723528692,2.4530311588516636e-05,0.60454243227869,0.0,0.6034057899169674,0.0007083903416056,0.6029899002940484,0.0009675854956585,0.6040429380341682,0.0003113001155178,0.6045178367147851,1.5328708926656182e-05,0.6040429380341682,0.0003113001155178,0.6028954809699021,0.0010264305110641
1,640,427,0.05,0.0512985710794661,0.51,0.1902238790935118,0.1809795040123596,0.0077669212015749,0.1864810731426296,0.0031446234751506,0.1872346379882421,0.0025114948185599,0.1848101942143258,0.0045484593060837,0.1799487565712434,0.0086329325959197,0.1799487565712434,0.0086329325959197,0.1819853913320266,0.0069217967360558,0.1848101942143258,0.0045484593060837,0.1819853913320266,0.0069217967360558,0.1799487565712434,0.0086329325959197
1,640,427,0.1,0.1010731782637999,0.95,0.3926407462430139,0.3912945916904424,0.0009666201108958,0.3914701719737317,0.0008405428840425,0.3912945916904424,0.0009666201108958,0.390917668949521,0.001237273358647,0.3914701719737317,0.0008405428840425,0.3914701719737317,0.0008405428840425,0.390917668949521,0.001237273358647,0.390917668949521,0.001237273358647,0.390917668949521,0.001237273358647,0.3916363885967883,0.0007211893296495
1,640,427,0.15,0.1512765639298856,1.6,0.5817096720544696,0.5809093884635823,0.0005059611160167,0.5815133200871102,0.0001241390697853,0.5813238114455679,0.0002439516023193,0.5815736382728298,8.600426743492716e-05,0.5809093884635823,0.0005059611160167,0.5809093884635823,0.0005059611160167,0.5815187218243165,0.0001207239441768,0.5815736382728298,8.600426743492716e-05,0.5814743131687156,0.0001488003076116,0.5805859138776458,0.0007104705728733
2,640,427,0.05,0.051044080638261,0.87,0.2787107601375658,0.2773675850382879,0.0010504135424131,0.2780576619222369,0.0005107474150437,0.2778446714646297,0.0006773139789977,0.2786557603612521,4.301189763025607e-05,0.2769807786055892,0.0013529107487846,0.2765622430741885,0.0016802213059865,0.278162626593452,0.0004286610867768,0.2786557603612521,4.301189763025607e-05,0.2780261120608069,0.0005354205955733,0.2767751970822225,0.0015136832469721
2,640,427,0.1,0.1012488540772452,3.33,0.5126449158736106,0.510686981899745,0.0012943777837872,0.5115642076871164,0.000714449356325,0.5112369335080615,0.0009308082490303,0.5092798618066695,0.0022246159899315,0.5113871685785565,0.0008314887928127,0.5118198876784548,0.0005454209289292,0.5090910661915528,0.0023494275786497,0.5094736037059241,0.0020965344440105,0.5091177259025846,0.0023318030120696,0.5120830944611586,0.0003714165873009
2,640,427,0.15,0.1515638663457074,50.0,0.7084922320676911,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772,0.7079878614614736,0.0002952138714772
3,640,425,0.05,0.0508674463630635,0.49,0.1829469138970676,0.1764464114448704,0.0054951768129494,0.1812631924460141,0.0014233279881568,0.1812631924460141,0.0014233279881568,0.1800991381318847,0.0024073571956,0.1764464114448704,0.0054951768129494,0.1756313440404631,0.0061841911675514,0.178006071755705,0.0041767234719652,0.1800991381318847,0.0024073571956,0.1772393890065366,0.0048248360289713,0.1764464114448704,0.0054951768129494
3,640,425,0.1,0.1010355193922257,0.97,0.3956212244363448,0.3955328360918271,6.333261702388034e-05,0.3954354367258357,0.0001331218723648,0.3954882708262743,9.526482382361386e-05,0.3955695746725451,3.7008439607637966e-05,0.3954882708262743,9.526482382361386e-05,0.3954354367258357,0.0001331218723648,0.3955989052629169,1.5992285755667943e-05,0.3955695746725451,3.7008439607637966e-05,0.3955989052629169,1.5992285755667943e-05,0.3953738667641338,0.0001772383995599
3,640,425,0.15,0.1515780097386525,2.06,0.6003083938073207,0.5938971626750158,0.0040062472690353,0.599864294096353,0.0002775088306018,0.6002730827133941,2.2065180725933066e-05,0.5995632843335538,0.0004656036777975,0.5936946331264829,0.0041328038435784,0.5936946331264829,0.0041328038435784,0.5960991285853298,0.0026302837867247,0.5995632843335538,0.0004656036777975,0.5959548943701349,0.0027204127992031,0.5928285122104365,0.0046740250978054
4,640,427,0.05,0.0515891371398768,0.44,0.1583394953266031,0.1475772723794207,0.0092910782983773,0.153156529039188,0.0044744794667937,0.153156529039188,0.0044744794667937,0.1521240177551639,0.0053658513730352,0.1475772723794207,0.0092910782983773,0.1463711347746894,0.0103323426337449,0.1487618001551669,0.0082684698312351,0.1510420877189535,0.0062998867232719,0.1487618001551669,0.0082684698312351,0.1475772723794207,0.0092910782983773
