img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,psnr_start,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16,rel_gain_synth_17,rel_error_synth_17,ssim_synth_1,ssim_synth_2,ssim_synth_3,ssim_synth_4,ssim_synth_5,ssim_synth_6,ssim_synth_7,ssim_synth_8,ssim_synth_9,ssim_synth_10,ssim_synth_11,ssim_synth_12,ssim_synth_13,ssim_synth_14,ssim_synth_15,ssim_synth_16,ssim_synth_17
0,512,512,0.05,0.0527518717254811,0.0001218924980092,0.26,0.2007576439451375,26.03151078131436,0.1824483189321767,0.0152481436243909,0.17858748830898,0.0184634724150633,0.1746269028776543,0.0217618777604692,0.17858748830898,0.0184634724150633,0.1746269028776543,0.0217618777604692,0.17858748830898,0.0184634724150633,0.1746269028776543,0.0217618777604692,0.17858748830898,0.0184634724150633,0.1746269028776543,0.0217618777604692,0.1746269028776543,0.0217618777604692,0.1746269028776543,0.0217618777604692,0.1746269028776543,0.0217618777604692,0.192882650010336,0.0065583541978778,0.196921060487492,0.0031951355687732,0.17858748830898,0.0184634724150633,0.17858748830898,0.0184634724150633,0.1864558938279905,0.0119106050994254,0.8086065199793487,0.8086065199793487,0.8079241974705437,0.8086065199793487,0.8079241974705437,0.8086065199793487,0.8079241974705437,0.8086065199793487,0.8079241974705437,0.8079241974705437,0.8079241974705437,0.8079241974705437,0.8082700797077309,0.7832111860465596,0.8086065199793487,0.8086065199793487,0.7650779981082891
0,512,512,0.1,0.1020377298724732,0.0002118784671952,0.51,0.4066838889420931,20.00775834478274,0.396721978153907,0.0070818403953414,0.398195390073308,0.0060344039876428,0.396721978153907,0.0070818403953414,0.396721978153907,0.0070818403953414,0.396721978153907,0.0070818403953414,0.3951843194326443,0.0081749493257487,0.3951843194326443,0.0081749493257487,0.396721978153907,0.0070818403953414,0.3951843194326443,0.0081749493257487,0.3951843194326443,0.0081749493257487,0.3951843194326443,0.0081749493257487,0.3919505398293311,0.0104738166325643,0.4042224519552793,0.0017498152969285,0.3988443729713425,0.0055730473863935,0.3919505398293311,0.0104738166325643,0.396721978153907,0.0070818403953414,0.3988443729713425,0.0055730473863935,0.7170102803352892,0.7157564026359235,0.7170102803352892,0.7170102803352892,0.7170102803352892,0.7181336038757237,0.7181336038757237,0.7170102803352892,0.7181336038757237,0.7181336038757237,0.7181336038757237,0.7200227854839234,0.7071716494289336,0.6623175102858583,0.7200227854839234,0.7170102803352892,0.6623175102858583
0,512,512,0.15,0.1521724473217745,0.0003218782477159,0.79,0.6056642936878092,16.47370459545958,0.5989473379088648,0.0041832877553235,0.6037779866445409,0.0011747829547457,0.6032973699373029,0.0014741087285873,0.6032973699373029,0.0014741087285873,0.6032973699373029,0.0014741087285873,0.6016206084875824,0.0025183876954375,0.6022154920084559,0.0021478970996061,0.6016206084875824,0.0025183876954375,0.6022154920084559,0.0021478970996061,0.6027754436313565,0.0017991619218346,0.6022154920084559,0.0021478970996061,0.6003375073080948,0.0033174969392139,0.6056611456224803,1.960599946831784e-06,0.6046010834791853,0.0006621622046423,0.6003375073080948,0.0033174969392139,0.6032973699373029,0.0014741087285873,0.6046010834791853,0.0006621622046423,0.6486497836971695,0.645762470569633,0.6472413018008766,0.6472413018008766,0.6472413018008766,0.651266988233466,0.6499907222271465,0.651266988233466,0.6499907222271465,0.6486497836971695,0.6499907222271465,0.6536355396861446,0.633189787306082,0.6425827157715539,0.6536355396861446,0.6472413018008766,0.6425827157715539
1,320,213,0.05,0.0536370691883258,0.0017109408618438,0.23,0.1581126552712597,26.02926175198615,0.1197037352855177,0.03316509824059,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1052356553711104,0.045657906991582,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1455620663928925,0.0108371053724713,0.1581126552712597,0.0,0.1125135003990396,0.0393736780827592,0.1125135003990396,0.0393736780827592,0.1538084321569928,0.0037165841290791,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8801244861521372,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8822483503336791,0.8882699299070512,0.8829333744841174,0.8822483503336791,0.8822483503336791,0.87421283138025
1,320,213,0.1,0.1028632781578221,0.0021222375919271,0.42,0.3160435790551051,20.01367538764206,0.2806046481900118,0.0269283870451598,0.2806046481900118,0.0269283870451598,0.2721982237990091,0.0333160359990329,0.2764330144590806,0.0300982165229393,0.2764330144590806,0.0300982165229393,0.2764330144590806,0.0300982165229393,0.2721982237990091,0.0333160359990329,0.2764330144590806,0.0300982165229393,0.2764330144590806,0.0300982165229393,0.2721982237990091,0.0333160359990329,0.2721982237990091,0.0333160359990329,0.2679169936259306,0.036569142690342,0.2997556698555429,0.0123764208562581,0.3160435790551051,0.0,0.2679169936259306,0.036569142690342,0.2764330144590806,0.0300982165229393,0.3157603179897401,0.0002152368431206,0.7966306908263728,0.7971809289891955,0.7959549043599878,0.7966306908263728,0.7966306908263728,0.7966306908263728,0.7959549043599878,0.7966306908263728,0.7966306908263728,0.7959549043599878,0.7959549043599878,0.7951642646480058,0.7975418628407968,0.7852044618403928,0.7951642646480058,0.7966306908263728,0.7819898576394447
1,320,213,0.15,0.1525007171299759,0.0020842283542071,0.61,0.4686620361885955,16.50815748371683,0.4313406364146802,0.0254118366610538,0.4399011690146366,0.0195830398452986,0.4313406364146802,0.0254118366610538,0.4313406364146802,0.0254118366610538,0.4342379391039376,0.0234390868943502,0.4313406364146802,0.0254118366610538,0.4342379391039376,0.0234390868943502,0.4313406364146802,0.0254118366610538,0.4342379391039376,0.0234390868943502,0.4342379391039376,0.0234390868943502,0.4313406364146802,0.0254118366610538,0.4284090718326689,0.027407915071046,0.4504634776777438,0.0123912500374011,0.4551974239762689,0.0091679446193552,0.4254496430697703,0.0294229659745055,0.4370939888407513,0.0214944259264493,0.4504634776777438,0.0123912500374011,0.7331433875265269,0.7333344729279254,0.7331433875265269,0.7331433875265269,0.7332834117538792,0.7331433875265269,0.7332834117538792,0.7331433875265269,0.7332834117538792,0.7332834117538792,0.7331433875265269,0.7329341843220595,0.7323678423915029,0.7312574321995529,0.7326615414137535,0.7333491365583013,0.7323678423915029
2,200,133,0.05,0.0525240440872519,0.0002534410337294,0.23,0.1742721399372646,26.024312678285323,0.1424425186180252,0.0271058302728189,0.135541165906617,0.032982962563275,0.135541165906617,0.032982962563275,0.1424425186180252,0.0271058302728189,0.1284985670350009,0.0389803788623556,0.1424425186180252,0.0271058302728189,0.1284985670350009,0.0389803788623556,0.1424425186180252,0.0271058302728189,0.1284985670350009,0.0389803788623556,0.135541165906617,0.032982962563275,0.135541165906617,0.032982962563275,0.135541165906617,0.032982962563275,0.1742721399372646,0.0,0.1656652483782434,0.0073295544246507,0.1424425186180252,0.0271058302728189,0.135541165906617,0.032982962563275,0.1576966958077454,0.0141155048866311,0.8780324602620189,0.8743903326238719,0.8743903326238719,0.8780324602620189,0.8703899179663602,0.8780324602620189,0.8703899179663602,0.8780324602620189,0.8703899179663602,0.8743903326238719,0.8743903326238719,0.8743903326238719,0.8870565115573972,0.8759106101890995,0.8780324602620189,0.8743903326238719,0.8690528986880852
2,200,133,0.1,0.1023525394540482,0.0003041645597284,0.43,0.3434588915443671,20.0304720760592,0.3141445155091869,0.021820076683911,0.3104456251565954,0.0245733357347625,0.3066852638192792,0.0273723505471871,0.3141445155091869,0.021820076683911,0.3066852638192792,0.0273723505471871,0.3104456251565954,0.0245733357347625,0.3028804960733116,0.030204419150041,0.3141445155091869,0.021820076683911,0.3028804960733116,0.030204419150041,0.3066852638192792,0.0273723505471871,0.3066852638192792,0.0273723505471871,0.3028804960733116,0.030204419150041,0.3433551520645938,7.721820178218365e-05,0.3355403109426401,0.0058941740990855,0.3028804960733116,0.030204419150041,0.3104456251565954,0.0245733357347625,0.3313556973990327,0.0090089798962298,0.7672670968183688,0.7648158832105665,0.762232969924721,0.7672670968183688,0.762232969924721,0.7648158832105665,0.7595345334932282,0.7672670968183688,0.7595345334932282,0.762232969924721,0.762232969924721,0.7595345334932282,0.7776049370773115,0.7665561445917359,0.7595345334932282,0.7648158832105665,0.7621275330463236
2,200,133,0.15,0.1541254963799601,0.0005140851033343,0.71,0.5086027336906744,16.479551462147214,0.4739070428697053,0.0229985602214102,0.4785463152794107,0.0199233487650742,0.4692160974229857,0.0261080239271027,0.4739070428697053,0.0229985602214102,0.471565869887499,0.0245504419261973,0.471565869887499,0.0245504419261973,0.4692160974229857,0.0261080239271027,0.471565869887499,0.0245504419261973,0.4692160974229857,0.0261080239271027,0.4692160974229857,0.0261080239271027,0.4668616162643992,0.0276687271566577,0.4598036280176384,0.0323472207647754,0.5086027336906744,0.0,0.5083517727682719,0.0001663532199683,0.4621523591999483,0.0307903289934315,0.471565869887499,0.0245504419261973,0.5078613654530296,0.0004914270808929,0.6769810477681389,0.6785774437681736,0.6720040333133265,0.6753501873607907,0.6736897402075431,0.6736897402075431,0.6720040333133265,0.6736897402075431,0.6720040333133265,0.6720040333133265,0.6702956827644506,0.665075597321596,0.693332749812349,0.6937787953779476,0.6668282318635551,0.6736897402075431,0.6940332511796677
3,500,332,0.05,0.0508762911030003,0.0014038269585477,0.24,0.2189317935652117,26.03329553235301,0.2016262391466494,0.0141973115394307,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1911010312980069,0.0228320915199066,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1964950893669817,0.0184068578050669,0.1911010312980069,0.0228320915199066,0.21421852861942,0.0038667175396303,0.2094389018223338,0.0077878777081632,0.1911010312980069,0.0228320915199066,0.1964950893669817,0.0184068578050669,0.2019466858096311,0.0139344201580807,0.8408384565222998,0.8408384565222998,0.8408384565222998,0.8408384565222998,0.8408384565222998,0.8408384565222998,0.8420998170732741,0.8408384565222998,0.8408384565222998,0.8408384565222998,0.8408384565222998,0.8420998170732741,0.8277843702283908,0.7697507990844533,0.8420998170732741,0.8408384565222998,0.7536278329856178
