img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
4,640,427,0.05,0.05132672355484037,7.623438719750195e-08,0.056,0.31694266,0.28973675,0.02065839,0.29230535,0.01870796,0.28714612,0.02262555,0.28973675,0.02065839,0.28714612,0.02262555,0.28714612,0.02262555,0.28714612,0.02262555,0.28714612,0.02262555,0.28714612,0.02262555,0.28714612,0.02262555,0.28714612,0.02262555,0.28714612,0.02262555,0.31495017,0.00151297,0.3168808,4.698115e-05,0.28714612,0.02262555,0.29230535,0.01870796
4,640,427,0.1,0.10157737768943818,1.1435158079625293e-07,0.117,0.5310746,0.5151057,0.01042982,0.5193974,0.00762681,0.51399094,0.01115794,0.5151057,0.01042982,0.5151057,0.01042982,0.51399094,0.01115794,0.5151057,0.01042982,0.51399094,0.01115794,0.5151057,0.01042982,0.51399094,0.01115794,0.51399094,0.01115794,0.5128632,0.01189449,0.5310725,1.3611021e-06,0.5269443,0.00269764,0.5128632,0.01189449,0.5183552,0.00830749
4,640,427,0.15,0.15163619145760024,1.1435158079625293e-07,0.187,0.74699336,0.73939365,0.00435017,0.7423684,0.00264739,0.74143165,0.0031836,0.73830545,0.00497309,0.7409414,0.00346421,0.73939365,0.00435017,0.7432434,0.00214654,0.73939365,0.00435017,0.7419072,0.00291141,0.73991954,0.00404914,0.73991954,0.00404914,0.7365953,0.00595201,0.7455819,0.00080793,0.7390755,0.00453228,0.736012,0.00628589,0.7409414,0.00346421
5,560,373,0.05,0.05062180472522734,4.9869143367802885e-08,0.07,0.33297133,0.29491773,0.02854795,0.29705116,0.02694745,0.29064336,0.0317546,0.29277968,0.03015192,0.29064336,0.0317546,0.29277968,0.03015192,0.29064336,0.0317546,0.29277968,0.03015192,0.2885124,0.03335325,0.29064336,0.0317546,0.29064336,0.0317546,0.29064336,0.0317546,0.3288278,0.00310851,0.33297133,0.,0.29277968,0.03015192,0.29705116,0.02694745
5,560,373,0.1,0.10085902939677259,2.4934571683901443e-08,0.15,0.5838028,0.54055786,0.02730452,0.5430888,0.02570649,0.5342292,0.03130034,0.5380248,0.02890386,0.5342292,0.03130034,0.53675896,0.02970309,0.5354924,0.03050279,0.5380248,0.02890386,0.5342292,0.03130034,0.53296715,0.03209723,0.5342292,0.03130034,0.53296715,0.03209723,0.580881,0.00184481,0.5811713,0.00166153,0.5342292,0.03130034,0.5430888,0.02570649
5,560,373,0.15,0.1516638189464112,7.480371505170433e-08,0.276,0.8176206,0.74457306,0.04018854,0.7491051,0.03769516,0.74457306,0.04018854,0.73919487,0.04314746,0.7409777,0.04216659,0.7409777,0.04216659,0.7491051,0.03769516,0.74367356,0.0406834,0.7427709,0.04118004,0.7365396,0.0446083,0.7400877,0.04265627,0.72780776,0.04941231,0.8111792,0.00354383,0.8173209,0.00016489,0.72780776,0.04941231,0.74457306,0.04018854
6,640,427,0.05,0.050542658541491155,4.764649199843872e-09,0.062,0.4014675,0.38473067,0.01194237,0.39168218,0.0069822,0.38106447,0.01455833,0.38473067,0.01194237,0.38290742,0.01324332,0.38290742,0.01324332,0.38290742,0.01324332,0.38106447,0.01455833,0.38106447,0.01455833,0.38290742,0.01324332,0.38106447,0.01455833,0.38290742,0.01324332,0.39799747,0.002476,0.38688347,0.01040626,0.38473067,0.01194237,0.39168218,0.0069822
6,640,427,0.1,0.1011022183154518,4.764649199843872e-09,0.148,0.67766726,0.6572021,0.01219857,0.6678354,0.00586042,0.6525267,0.01498544,0.6544022,0.01386751,0.6544022,0.01386751,0.6525267,0.01498544,0.65812826,0.01164655,0.6525267,0.01498544,0.6544022,0.01386751,0.6544022,0.01386751,0.65158767,0.01554514,0.65064585,0.01610654,0.6696852,0.00475785,0.6403054,0.02227013,0.64970857,0.01666522,0.6661715,0.00685223
6,640,427,0.15,0.1512939570351246,6.670508879781421e-08,0.276,0.9437752,0.91925895,0.01261269,0.9353413,0.0043389,0.93091047,0.00661841,0.912278,0.01620414,0.92795444,0.00813917,0.91671824,0.01391978,0.93874556,0.00258755,0.92052424,0.01196174,0.9331852,0.00544812,0.92177916,0.01131613,0.92177916,0.01131613,0.8978036,0.02365065,0.92538327,0.00946194,0.9001212,0.02245835,0.89350116,0.02586412,0.92855334,0.00783106
7,600,450,0.05,0.051195491395439545,7.71604938271605e-08,0.053,0.1996874,0.16691628,0.02731639,0.1694763,0.02518249,0.16434212,0.02946208,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.16691628,0.02731639,0.18405126,0.01303352,0.19221807,0.00622608,0.16691628,0.02731639,0.1694763,0.02518249
