img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
4,640,427,0.05,0.051452754395328655,1.1435158079625293e-07,0.059000000000000004,0.31794286,0.2902102,0.02104239,0.2949788,0.01742416,0.2853781,0.02470877,0.2877935,0.02287607,0.2877935,0.02287607,0.2877935,0.02287607,0.2877935,0.02287607,0.2877935,0.02287607,0.2877935,0.02287607,0.2902102,0.02104239,0.2877935,0.02287607,0.2877935,0.02287607,0.3169311,0.00076767,0.31793764,3.9587876e-06,0.2877935,0.02287607,0.2949788,0.01742416
4,640,427,0.1,0.10132379035454973,7.623438719750195e-08,0.126,0.5316312,0.51863086,0.00848791,0.5228955,0.00570349,0.51497525,0.01087465,0.51773316,0.00907401,0.51590395,0.01026827,0.51590395,0.01026827,0.51590395,0.01026827,0.51590395,0.01026827,0.51497525,0.01087465,0.51590395,0.01026827,0.51497525,0.01087465,0.51497525,0.01087465,0.531244,0.00025282,0.527887,0.00244458,0.51403683,0.01148732,0.5220781,0.00623719
4,640,427,0.15,0.15146958941086916,1.1435158079625293e-07,0.233,0.7483896,0.73840487,0.00571082,0.74310774,0.00302098,0.73269624,0.00897589,0.7371284,0.00644091,0.73404986,0.00820167,0.7349425,0.00769114,0.73449546,0.0079468,0.73449546,0.0079468,0.73088056,0.01001438,0.73404986,0.00820167,0.72951335,0.01079636,0.73133844,0.00975247,0.7447744,0.00206771,0.7430946,0.00302848,0.7322466,0.00923306,0.7408517,0.00431132
5,560,373,0.05,0.05051913322927112,4.9869143367802885e-08,0.07200000000000001,0.33152807,0.29411379,0.02809875,0.2960872,0.02661667,0.28820726,0.03253464,0.2921418,0.02957973,0.28820726,0.03253464,0.290172,0.03105909,0.28820726,0.03253464,0.2921418,0.02957973,0.28820726,0.03253464,0.290172,0.03105909,0.290172,0.03105909,0.290172,0.03105909,0.3275557,0.00298331,0.33152807,0.,0.290172,0.03105909,0.2960872,0.02661667
5,560,373,0.1,0.1009222790981105,4.9869143367802885e-08,0.17400000000000002,0.57873964,0.5285622,0.03178322,0.533863,0.02842559,0.518168,0.03836712,0.52541465,0.03377695,0.519195,0.03771655,0.5222886,0.03575701,0.519195,0.03771655,0.52332956,0.03509768,0.51613,0.039658,0.52022165,0.03706629,0.519195,0.03771655,0.51613,0.039658,0.5768146,0.00121934,0.5776693,0.00067797,0.518168,0.03836712,0.53067505,0.03044492
5,560,373,0.15,0.1511667292621365,4.9869143367802885e-08,0.339,0.810641,0.7397476,0.03915376,0.74821955,0.03447479,0.7220345,0.04893651,0.7346966,0.04194337,0.7220345,0.04893651,0.7279607,0.04566353,0.72145176,0.04925838,0.72917026,0.04499553,0.71463144,0.05302516,0.7180031,0.05116304,0.71971846,0.05021567,0.71743757,0.05147539,0.80930835,0.00073602,0.8105186,6.757459e-05,0.72145176,0.04925838,0.74232024,0.03773291
6,640,427,0.05,0.050669188576029076,9.529298399687744e-09,0.066,0.40262854,0.38442093,0.01298107,0.39259306,0.00715476,0.37930444,0.01662885,0.38442093,0.01298107,0.38101304,0.01541072,0.38101304,0.01541072,0.38272133,0.01419279,0.38101304,0.01541072,0.38101304,0.01541072,0.38442093,0.01298107,0.38101304,0.01541072,0.38442093,0.01298107,0.39918762,0.0024532,0.38876686,0.00988264,0.38101304,0.01541072,0.39259306,0.00715476
6,640,427,0.1,0.10083181113781552,4.764649199843872e-09,0.164,0.67894036,0.6637273,0.00906113,0.67390144,0.00300125,0.6516406,0.01626013,0.6607296,0.01084659,0.65541947,0.01400939,0.65617883,0.01355708,0.65617883,0.01355708,0.65541947,0.01400939,0.6531486,0.01536193,0.6569375,0.01310522,0.6531486,0.01536193,0.6516406,0.01626013,0.6636962,0.00907962,0.64382756,0.02091369,0.6501354,0.01715664,0.6727148,0.00370801
6,640,427,0.15,0.1510834271620917,9.529298399687744e-09,0.405,0.9428828,0.91110206,0.0163575,0.933878,0.00463476,0.88321835,0.03070921,0.9035214,0.02025926,0.888271,0.02810865,0.89201075,0.0261838,0.89050406,0.02695927,0.89050406,0.02695927,0.87373745,0.03558904,0.8879039,0.02829757,0.8692987,0.03787364,0.8770315,0.0338936,0.915349,0.0141716,0.909962,0.01694429,0.88042784,0.03214549,0.92291117,0.01027936
7,600,450,0.05,0.05139478617585657,1.1574074074074074e-07,0.055,0.20013319,0.16637874,0.02812559,0.16878912,0.02611716,0.16395827,0.03014243,0.16637874,0.02812559,0.16637874,0.02812559,0.16637874,0.02812559,0.16637874,0.02812559,0.16637874,0.02812559,0.16395827,0.03014243,0.16637874,0.02812559,0.16637874,0.02812559,0.16637874,0.02812559,0.18487789,0.01271134,0.1926005,0.00627654,0.16637874,0.02812559,0.16878912,0.02611716
7,600,450,0.1,0.10124609782528865,7.71604938271605e-08,0.12,0.38691437,0.3570378,0.02154174,0.3595586,0.01972419,0.35449108,0.02337799,0.3570378,0.02154174,0.35449108,0.02337799,0.3557672,0.02245788,0.35449108,0.02337799,0.3557672,0.02245788,0.35449108,0.02337799,0.35449108,0.02337799,0.35449108,0.02337799,0.35449108,0.02337799,0.37677112,0.00731354,0.38205025,0.00350716,0.35449108,0.02337799,0.35830116,0.02063085
7,600,450,0.15,0.15131359368859704,1.1574074074074074e-07,0.20700000000000002,0.5671618,0.53263223,0.02203319,0.5352337,0.0203732,0.5282613,0.02482226,0.53175884,0.0225905,0.5282613,0.02482226,0.5300126,0.02370477,0.5282613,0.02482226,0.5300126,0.02370477,0.52650726,0.02594151,0.5273857,0.02538097,0.52650726,0.02594151,0.5273857,0.02538097,0.55792546,0.00589366,0.5591745,0.00509668,0.5273857,0.02538097,0.53350055,0.0214791
8,280,419,0.05,0.054302245744032925,4.439424934651665e-08,0.055,0.17950848,0.1351729,0.03758818,0.1351729,0.03758818,0.13279012,0.03960833,0.1351729,0.03758818,0.13279012,0.03960833,0.1351729,0.03758818,0.13279012,0.03960833,0.1351729,0.03758818,0.13279012,0.03960833,0.13279012,0.03960833,0.13279012,0.03960833,0.13279012,0.03960833,0.15714434,0.01896056,0.1663431,0.01116176,0.13279012,0.03960833,0.1351729,0.03758818
8,280,419,0.1,0.10321360866463121,8.87884986930333e-08,0.12,0.3695897,0.34659973,0.01678601,0.34659973,0.01678601,0.34262186,0.01969043,0.3456063,0.01751137,0.34262186,0.01969043,0.3446151,0.01823507,0.34262186,0.01969043,0.3456063,0.01751137,0.34262186,0.01969043,0.34361532,0.01896507,0.34361532,0.01896507,0.34262186,0.01969043,0.36288485,0.00489551,0.36781073,0.00129891,0.34162256,0.02042008,0.34659973,0.01678601
