img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,psnr_start,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16,rel_gain_synth_17,rel_error_synth_17,ssim_synth_1,ssim_synth_2,ssim_synth_3,ssim_synth_4,ssim_synth_5,ssim_synth_6,ssim_synth_7,ssim_synth_8,ssim_synth_9,ssim_synth_10,ssim_synth_11,ssim_synth_12,ssim_synth_13,ssim_synth_14,ssim_synth_15,ssim_synth_16,ssim_synth_17
0,512,512,0.05,0.052825620195329,0.0001030191287838,1.6,0.175074647667187,26.014773728757262,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.1742052030967506,0.0007399058197387,0.175074647667187,0.0,0.1649990716802783,0.008574413554842,0.1541910408762528,0.0177721533116157,0.175074647667187,0.0,0.1742052030967506,0.0007399058197387,0.1623231367943968,0.010851660273758,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.761594382745144,0.7719471002866108,0.7874852389423251,0.791023277264741,0.7719471002866108,0.761594382745144,0.7887971643730755
0,512,512,0.1,0.1019138625446105,0.0001196116382124,50.0,0.3587077142000078,19.99612450307894,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.341608336151366,0.0125850305182889,0.3472840610302883,0.0084077340919828,0.3511274934647052,0.0055789929328293,0.3577756824691859,0.000685969264089,0.3472840610302883,0.0084077340919828,0.341608336151366,0.0125850305182889,0.3577756824691859,0.000685969264089,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5793637181335529,0.5875662721141793,0.5937289802740424,0.6142411213197919,0.5875662721141793,0.5793637181335529,0.6142411213197919
0,512,512,0.15,0.1516727399205343,0.0001370633170182,50.0,0.5005264580756676,16.481598251131878,0.4793006007983992,0.0141456068055536,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4793006007983992,0.0141456068055536,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4729939979860859,0.0183485335706046,0.4793006007983992,0.0141456068055536,0.4905390922734626,0.0066559078305178,0.5005216067618101,3.233074519578927e-06,0.4793006007983992,0.0141456068055536,0.4729939979860859,0.0183485335706046,0.5005216067618101,3.233074519578927e-06,0.4531417317870505,0.4479814981873158,0.4479814981873158,0.4479814981873158,0.4479814981873158,0.4479814981873158,0.4479814981873158,0.4531417317870505,0.4479814981873158,0.4479814981873158,0.4479814981873158,0.4531417317870505,0.4626720924121848,0.4714045997259514,0.4531417317870505,0.4479814981873158,0.4714045997259514
1,320,213,0.05,0.0533238166619243,0.0003471128834702,0.9,0.1305518938372092,26.009510915530758,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.1305518938372092,0.0,0.0833551183513274,0.0417466688111866,0.1305518938372092,0.0,0.1305518938372092,0.0,0.0833551183513274,0.0417466688111866,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8684207396753507,0.8735947071241511,0.8684207396753507,0.8684207396753507,0.8735947071241511
1,320,213,0.1,0.1031471277486261,0.0006189943274409,50.0,0.284436858024816,19.991220923939814,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.284436858024816,0.0,0.2781919639889966,0.0048619704400438,0.240162143694809,0.0344701368957068,0.2817347700333307,0.0021037141488142,0.2817347700333307,0.0021037141488142,0.240162143694809,0.0344701368957068,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7429189344885491,0.7510062626648173,0.7612499361218464,0.7587565739794968,0.7429189344885491,0.7429189344885491,0.7587565739794968
1,320,213,0.15,0.1525757198467124,0.0006193915251809,50.0,0.4210662890284825,16.472532569071404,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.4190084591903398,0.0014480885614066,0.407087341584547,0.0098369425493108,0.4125747572865073,0.0059754649079604,0.4125747572865073,0.0059754649079604,0.407087341584547,0.0098369425493108,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6445286094195796,0.6625801105846911,0.6614612666309277,0.6445286094195796,0.6445286094195796,0.6614612666309277
2,200,133,0.05,0.0520686362348972,8.272996964736383e-05,50.0,0.1617615142760826,26.019681354736555,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1617615142760826,0.0,0.1557787384581059,0.0051497452312359,0.1557787384581059,0.0051497452312359,0.0772935798861761,0.0727067761773293,0.1557787384581059,0.0051497452312359,0.1617615142760826,0.0,0.0772935798861761,0.0727067761773293,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8807102734995932,0.8820443247000546,0.8820443247000546,0.8532288240483444,0.8820443247000546,0.8807102734995932,0.8532288240483444
2,200,133,0.1,0.1027549788979402,0.000108249056249,2.2,0.3228156217746015,19.97877038206504,0.3210525089413248,0.0013328485121088,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3210525089413248,0.0013328485121088,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3169340487841947,0.0044462530481129,0.3226675627021897,0.0001119272179543,0.3226675627021897,0.0001119272179543,0.3103108139426958,0.0094531752014918,0.3226675627021897,0.0001119272179543,0.3210525089413248,0.0013328485121088,0.3103108139426958,0.0094531752014918,0.7508386628398149,0.7458848923032888,0.7458848923032888,0.7458848923032888,0.7458848923032888,0.7458848923032888,0.7458848923032888,0.7508386628398149,0.7458848923032888,0.7458848923032888,0.7458848923032888,0.7536573655720481,0.7536573655720481,0.7520952156781716,0.7536573655720481,0.7508386628398149,0.7520952156781716
2,200,133,0.15,0.1548760866120988,0.0001091127721309,50.0,0.4608289877103098,16.44966433790105,0.4572824375802949,0.0024277654399326,0.4572824375802949,0.0024277654399326,0.4572824375802949,0.0024277654399326,0.4572824375802949,0.0024277654399326,0.4548319145344258,0.004105253404975,0.4572824375802949,0.0024277654399326,0.4548319145344258,0.004105253404975,0.4572824375802949,0.0024277654399326,0.4548319145344258,0.004105253404975,0.4548319145344258,0.004105253404975,0.4548319145344258,0.004105253404975,0.4598535133369387,0.0006677539818675,0.45825388256704,0.0017627697457633,0.45825388256704,0.0017627697457633,0.4598535133369387,0.0006677539818675,0.4572824375802949,0.0024277654399326,0.45825388256704,0.0017627697457633,0.6389967158370929,0.6389967158370929,0.6389967158370929,0.6389967158370929,0.6372235466531012,0.6389967158370929,0.6372235466531012,0.6389967158370929,0.6372235466531012,0.6372235466531012,0.6372235466531012,0.6408194839229843,0.6392364594904264,0.6392364594904264,0.6408194839229843,0.6389967158370929,0.6392364594904264
3,500,332,0.05,0.0509627340569651,0.0011089389959371,1.2000000000000002,0.1837961041469426,26.01157931294148,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1837961041469426,0.0,0.1556307940508664,0.0237923659297497,0.1837961041469426,0.0,0.1837961041469426,0.0,0.16579811687334,0.0152036209703292,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7450620742706714,0.7828356366296568,0.7450620742706714,0.7450620742706714,0.7790315590200984
