img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,psnr_start,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16,rel_gain_synth_17,rel_error_synth_17
0,512,512,0.05,0.05287753460596967,0.00021886872369569765,0.06,0.24773447299080606,26.01823212349746,0.22096584782092296,0.02145378343656642,0.22096584782092296,0.02145378343656642,0.21728915270891208,0.02440048018302874,0.22096584782092296,0.02145378343656642,0.21913024875537296,0.022924929025058566,0.21913024875537296,0.022924929025058566,0.21728915270891208,0.02440048018302874,0.21913024875537296,0.022924929025058566,0.21728915270891208,0.02440048018302874,0.21728915270891208,0.02440048018302874,0.21913024875537296,0.022924929025058566,0.21913024875537296,0.022924929025058566,0.23990014050318934,0.006278845906082811,0.2449501307894279,0.0022315182129288512,0.21913024875537296,0.022924929025058566,0.22280311428037738,0.019981301510944457,0.24190922432987141,0.004668660509933314
0,512,512,0.1,0.10221939964263929,0.0004526479923834259,0.13,0.48834199626122504,19.99749167829904,0.46372709556957337,0.016538470830955047,0.46477665018794,0.015833287062034213,0.46060113794028495,0.018638766083753745,0.46372709556957337,0.016538470830955047,0.46060113794028495,0.018638766083753745,0.46163780689507555,0.0179422400451183,0.45953850554384645,0.019352736662496976,0.46163780689507555,0.0179422400451183,0.46060113794028495,0.018638766083753745,0.46060113794028495,0.018638766083753745,0.46269324139449597,0.01723310565122787,0.46269324139449597,0.01723310565122787,0.4861948775342557,0.0014426245663718116,0.4881775809247619,0.00011046878800449088,0.46269324139449597,0.01723310565122787,0.4668396458672439,0.014447183811244912,0.4358831568448785,0.035246495461476755
0,512,512,0.15,0.15215102401570052,0.0007189218446445415,0.218,0.7136419373190132,16.477154613146105,0.6847403404448342,0.016865598492177072,0.686954345185023,0.015573610538350192,0.6795477288330317,0.01989575986878667,0.6847403404448342,0.016865598492177072,0.6795477288330317,0.01989575986878667,0.681772241294637,0.01859764010808246,0.6787974145336205,0.020333607637956577,0.681772241294637,0.01859764010808246,0.6780599134123687,0.020763978245252567,0.6795477288330317,0.01989575986878667,0.6825210009604404,0.018160699549207644,0.681772241294637,0.01859764010808246,0.7130081982770212,0.00036981998875649857,0.7133372665243847,0.00017779139737040124,0.6825210009604404,0.018160699549207644,0.6891466765530065,0.014294270134593794,0.5984335496941059,0.06723014015702161
1,320,213,0.05,0.0534359464100792,0.0005489880883525504,0.077,0.2108223736393864,26.02022611854386,0.16044001124013624,0.04161003586993125,0.1686879698837123,0.03479817079117075,0.15715987394077738,0.04431905196574364,0.16208123317987969,0.040254575337094894,0.15715987394077738,0.04431905196574364,0.15715987394077738,0.04431905196574364,0.15715987394077738,0.04431905196574364,0.15715987394077738,0.04431905196574364,0.15715987394077738,0.04431905196574364,0.15879282992136692,0.04297041816433697,0.15715987394077738,0.04431905196574364,0.15879282992136692,0.04297041816433697,0.19762858807335923,0.010896549199343282,0.201781831244411,0.0074664480866851925,0.15879282992136692,0.04297041816433697,0.17034809166254503,0.033427101165290865,0.20704186020349202,0.003122269226435963
1,320,213,0.1,0.10278573697417508,0.0011387611829275653,0.167,0.41258544063173497,20.0149318945789,0.3495299633094526,0.0446383457655367,0.35946216396518266,0.03760712459473925,0.3429510211256393,0.04929572222898872,0.3495299633094526,0.0446383457655367,0.3429510211256393,0.04929572222898872,0.3440432579139622,0.04852250401725746,0.3429510211256393,0.04929572222898872,0.3440432579139622,0.04852250401725746,0.3418589609426352,0.05006881541796829,0.3440432579139622,0.04852250401725746,0.3440432579139622,0.04852250401725746,0.34513799979508075,0.04774751239577438,0.40073739717662216,0.008387488016168504,0.4081425612345599,0.003145211092638848,0.3440432579139622,0.04852250401725746,0.3605665613948591,0.036825297600131035,0.38479339941618673,0.01967459129631061
1,320,213,0.15,0.15381911402881693,0.0018520694531080166,0.289,0.6000526782259142,16.471043046479494,0.49839786014852266,0.06353216957213127,0.5124576029032424,0.05474511965430689,0.48894917453142706,0.06943740365953144,0.4992616341473305,0.06299232859654191,0.48894917453142706,0.06943740365953144,0.49150690680341114,0.0678388736193705,0.48894917453142706,0.06943740365953144,0.49150690680341114,0.0678388736193705,0.48894917453142706,0.06943740365953144,0.49235974063282517,0.06730587002453911,0.4940764558235309,0.06623295835477509,0.49493944548586805,0.06569360757334083,0.5808558672647705,0.011997611842647913,0.5886416438237386,0.007131661699305893,0.49322029576555815,0.06676804077401272,0.5178104529377487,0.0513996985270216,0.5385659671663436,0.03842792921527124
2,200,133,0.05,0.05258731753920171,0.0006707910166643846,0.061,0.2118375893059805,26.017501528851344,0.1690221621284313,0.0353309944792764,0.1793277557992355,0.026826889835430343,0.16129248761263515,0.04170946844642155,0.1716081959052659,0.033197017286577125,0.16129248761263515,0.04170946844642155,0.16386537127581288,0.03958634263659152,0.1587412915613443,0.04381469778887156,0.16386537127581288,0.03958634263659152,0.16129248761263515,0.04170946844642155,0.16386537127581288,0.03958634263659152,0.16129248761263515,0.04170946844642155,0.16386537127581288,0.03958634263659152,0.20893867424273727,0.0023921646669694797,0.2060853501392563,0.004746707989160924,0.16386537127581288,0.03958634263659152,0.1793277557992355,0.026826889835430343,0.20353960966270168,0.00684743542905868
2,200,133,0.1,0.10328219123134377,0.0013843016689722952,0.134,0.4114193346711346,20.009924896869617,0.3629628406291222,0.034331748794771126,0.3745537735637568,0.026119495604024455,0.3529691968603872,0.041412311972023885,0.3644136526901836,0.03330383878573087,0.3501520261039146,0.04340829621800208,0.35437926250803115,0.04041327106829947,0.34874747322175376,0.04440343129066147,0.3529691968603872,0.041412311972023885,0.35155452962951295,0.042414613128117847,0.35580238995481217,0.03940497579288257,0.35580238995481217,0.03940497579288257,0.35580238995481217,0.03940497579288257,0.4110436211735499,0.0002661955156454297,0.4107281755375455,0.0004896908499203576,0.35580238995481217,0.03940497579288257,0.3788938358694877,0.02304453255150106,0.37170253425970473,0.02813961764289139
2,200,133,0.15,0.1531768967176438,0.002038024301548427,0.214,0.604656564989944,16.48479495814424,0.5537048318688005,0.03175242243904253,0.5666627457305621,0.023677227942927516,0.5407803468337511,0.03980678454806515,0.5547933248466166,0.031074088519146736,0.5365415352978583,0.04244835385851716,0.5418496214933347,0.03914042722095053,0.5344359607289519,0.043760519099881136,0.5407803468337511,0.03980678454806515,0.535488752245506,0.043104433841811826,0.5418496214933347,0.03914042722095053,0.543997227320027,0.037802068675235334,0.543997227320027,0.037802068675235334,0.6045040776325912,9.502803321271344e-05,0.6045882648389729,4.2563718904954825e-05,0.543997227320027,0.037802068675235334,0.5709162745237273,0.021026487039255203,0.5164136453702277,0.054991779266032104
3,500,332,0.05,0.05095901206197861,0.00023269389296621672,0.05,0.27387063178804083,26.02383526443459,0.25742883857908244,0.01290695679660991,0.2596419851408426,0.011169616672319782,0.2551608013364885,0.014687386603214714,0.25742883857908244,0.01290695679660991,0.2551608013364885,0.014687386603214714,0.25742883857908244,0.01290695679660991,0.2551608013364885,0.014687386603214714,0.25742883857908244,0.01290695679660991,0.2551608013364885,0.014687386603214714,0.2551608013364885,0.014687386603214714,0.25742883857908244,0.01290695679660991,0.25742883857908244,0.01290695679660991,0.27182057932449644,0.0016093097779221598,0.27385960842895546,8.653436864241963e-06,0.25742883857908244,0.01290695679660991,0.2596419851408426,0.011169616672319782,0.2569967766693598,0.013246129314557167
