energy,prior,fidelity,mass,psnr,ssim_indices
9279.985777952028,9279.985777952028,0.0,0.0,20.007898595617206,0.20557733085921212
4231.077459109293,3957.9188689944226,273.1585901148705,54.54282683017664,22.815496462482233,0.29889699926962915
2868.719140171893,2265.9776737620264,602.7414664098665,103.71939932816895,24.55047222629762,0.3722959000153549
2393.818619540066,1564.9310571960866,828.8875623439792,148.04030630370835,25.65947347423934,0.425574993239297
2190.994093282418,1217.2158597350196,973.7782335473983,187.97299183806172,26.394314260710622,0.4636592293896474
2090.818701983604,1023.2873093863321,1067.5313925972719,223.94345774140675,26.894337205563538,0.49101185868977876
2036.0549536429735,906.1086955125605,1129.9462581304128,256.3387734645512,27.241166937465557,0.5108742193888256
2003.8768313122373,831.0984386315783,1172.778392680659,285.509886188549,27.485164904427194,0.52547338853011
1983.949852208749,780.9719188058971,1202.977933402852,311.7744899134268,27.65858745468369,0.5363255454064587
1971.1220453592637,746.3635755496194,1224.7584698096443,335.41983044770313,27.782698401075137,0.5444665483070573
1962.6256015919948,721.8630422175621,1240.7625593744328,356.7053813619423,27.87185694395702,0.5506206889873955
1956.8817352336005,704.1766824936021,1252.7050527399983,375.8653575726785,27.935961819939237,0.5552990817694128
1952.944458146662,691.2109103555642,1261.7335477910979,393.1110516662593,27.98195689835643,0.558871318610032
1950.2232633276908,681.5868437790597,1268.6364195486312,408.6329892608919,28.01478383131311,0.5616074838642735
1948.3367621565108,674.3696047513989,1273.967157405112,422.60290653805714,28.03800041306022,0.56370746372394
1947.0315816757357,668.9102303446872,1278.1213513310486,435.1755571726826,28.054191663890727,0.5653212557966689
1946.1354637569352,664.7495162903642,1281.385947466571,446.49035821150756,28.06524908527387,0.5665616271009534
1945.5290946561067,661.557409907235,1283.971684748872,456.6728856291156,28.072563977883004,0.5675146353810688
1945.128603439422,659.0936150927456,1286.0349883466765,465.83623071049806,28.077163443437172,0.5682460252092493
1944.874357908625,657.181302590706,1287.693055317919,474.082228365005,28.079807371597376,0.5688062036131634
1944.7236003082014,655.6891703730817,1289.0344299351198,481.5025681280531,28.081058394638575,0.5692339843626154
1944.6454942432736,654.5189696277203,1290.1265246155533,488.1797980807605,28.081332826065367,0.569559370340197
1944.6177264846772,653.5966926489034,1291.0210338357738,494.18823129782686,28.080938048473687,0.5698055666762479
1944.6241355588154,652.8662637927642,1291.7578717660513,499.5947637684876,28.080100138585586,0.5699906148249257
1944.6530328196773,652.2849709643586,1292.3680618553187,504.45961204881314,28.0789843922226,0.5701285064809201
1944.695999278971,651.820125278535,1292.875874000436,508.8369782496011,28.077710643961943,0.5702300878453239
1944.7470146322785,651.4465983154352,1293.3004163168434,512.7756493098568,28.0763647439801,0.5703037726336962
1944.8018215221414,651.1449932732634,1293.6568282488781,516.3195369034656,28.07500718087153,0.5703561288757429
1944.8574584108435,650.9002782839136,1293.9571801269299,519.5081637568655,28.07367957380489,0.5703922860648505
1944.911914569756,650.7007594233748,1294.211155146381,522.3771016192622,28.072409566965813,0.5704161884509652
1944.963874298212,650.5373051740072,1294.4265691242047,524.9583656428731,28.071214521417183,0.5704308908792384
1945.0125268292957,650.40275817927,1294.6097686500257,527.2807694752701,28.070104298964587,0.5704387685901099
1945.0574248915316,650.2914872709418,1294.7659376205897,529.3702449531993,28.06908335874094,0.5704416394173002
1945.098379492685,650.199045068287,1294.899334424398,531.2501299147843,28.068152332596608,0.5704409186948062
1945.1353817756199,650.1219053816218,1295.0134763939982,532.941427297832,28.06730920475013,0.57043765068438
1945.1685451663182,650.0572611807436,1295.1112839855746,534.4630383842159,28.066550190774176,0.5704326518752663
1945.198062760826,650.0028686922279,1295.1951940685979,535.831972768472,28.065870388167646,0.5704265426084373
1945.224176166221,649.9569267460909,1295.2672494201302,537.0635373718105,28.065264253544587,0.570419776084537
1945.2471529491459,649.9179831400437,1295.3291698091023,538.1715065911994,28.06472594842798,0.5704126874406441
1945.267270544288,649.8848617704909,1295.3824087737971,539.1682754678186,28.064249585725353,0.5704055275248243
1945.2848049985537,649.8566057681297,1295.428199230424,540.0649975687847,28.063829401408498,0.5703984721338475
1945.3000233205137,649.8324329992627,1295.467590321251,540.8717091087019,28.06345987014722,0.5703916433304941
1945.3131785022713,649.8117011445822,1295.501477357689,541.5974406821188,28.063135779226815,0.5703851222676795
1945.3245065066042,649.793880213522,1295.5306262930822,542.2503178449115,28.06285227168857,0.5703789598733382
1945.3342246837651,649.7785308448043,1295.555693838961,542.8376516551361,28.06260486702874,0.5703731835982807
1945.3425312131226,649.7652871202821,1295.5772440928406,543.3660201758612,28.06238946579044,0.5703678040239445
1945.3496052645787,649.7538429075397,1295.5957623570391,543.8413418399869,28.062202342843907,0.5703628194528311
1945.3556076509362,649.7439409682389,1295.6116666826972,544.2689414896886,28.062040132967923,0.5703582215827353
1945.3606818005915,649.7353642396446,1295.6253175609468,544.6536098173237,28.061899811436398,0.5703539952184498
1945.3649549243978,649.7279288282426,1295.6370260961553,544.9996568714851,28.061778671617034,0.5703501222364656
1945.368539284405,649.7214783559567,1295.6470609284484,545.3109602124896,28.061674301055,0.570346581801868
1945.3715334979788,649.7158793780976,1295.655654119881,545.5910082557821,28.06158455710701,0.5703433518716001
1945.3740238303135,649.7110176531869,1295.6630061771266,545.8429392810795,28.061507542880975,0.5703404090152702
1945.3760854431248,649.7067950921568,1295.6692903509681,546.0695765395649,28.06144158400137,0.570337731012334
1945.3777835783135,649.7031272512976,1295.674656327016,546.273459848424,28.061385206543896,0.5703352971189776
1945.3791746636641,649.6999412620535,1295.6792334016106,546.4568740221439,28.061337116350824,0.5703330867646571
1945.3803073336512,649.697174113206,1295.6831332204454,546.6218744581565,28.06129617984083,0.5703310805247652
1945.3812233628291,649.6947712185163,1295.6864521443129,546.7703101590159,28.061261406356117,0.5703292605379445
1945.3819585124133,649.6926852166589,1295.6892732957544,546.903844448505,28.061231932038588,0.5703276102619658
1945.3825432927777,649.6908749610425,1295.6916683317352,547.0239736100775,28.061207005191196,0.5703261141485659
